ID,linker
77,[O-]C(=O)COc1c2Sc3cc(cc(c3OCC(=O)[O-])Sc3cc(cc(Sc4c(c(Sc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)OCC(=O)[O-])c3OCC(=O)[O-])C(C)(C)C)C(C)(C)C
78,[O-]C(=O)c1cc(OCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]
79,[O-]C(=O)CN(CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-]
80,C1N2CN3CN1CN(C2)C3
81,N1=NN=C([N]1)c1ccc(cc1)C1=NN=N[N]1
82,[O-]C(=O)c1cc(cc(c1)c1ccncc1)C(=O)[O-]
83,[O-]C(=O)c1cc(cc(c1)c1ccncc1)C(=O)[O-]
84,[O-]C(=O)COCC(=O)[O-]
85,CN1c2cncc(n2)N(C)c2cncc(n2)N(c2nc(N(c3nc1cnc3)C)cnc2)C
86,O=C(c1ccncc1)OCC(COC(=O)c1ccncc1)(COC(=O)c1ccncc1)COC(=O)c1ccncc1
87,[O]P(=O)(CP(=O)([O])[O])[O]
88,[O-]C(=O)C1=NN=C([CH]1)C(=O)[O-]
89,N1=NN=C([N]1)c1ccc2c(c1)ccc(c2)C1=NN=N[N]1
90,[O]P(=O)([O])[O]
91,CC(C1=Nc2c([N]1)ccc(c2)C(=O)[O-])O
92,CC(C(=O)[O-])NCc1ccncc1
93,CC(C(=O)[O-])NCc1ccncc1
94,CC(C(=O)[O-])NCc1ccncc1
95,CC(C(=O)[O-])NCc1ccncc1
96,CC(C(=O)[O-])[N]Cc1ccncc1
97,CC(C(=O)[O-])[N]Cc1ccncc1
98,CC(C(=O)[O-])NCc1ccncc1
99,CC(C(=O)[O-])NCc1ccncc1
100,CC(C(C(=O)[O-])NCc1ccncc1)C
101,CC(C(C(=O)[O-])[N]Cc1ccncc1)C
102,[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-]
103,[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1
104,Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C
105,Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C
106,Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C
107,Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C
108,
