ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
116,0.046153846,25,54.94,1.61,3.47,8.6,-50
117,0.044444444,25,54.94,1.61,3.47,8.6,-50
118,0.04,27,58.93,1.52,4.27,6.8,64
119,0.125,83,209,1.43,4.11,4,91
120,0.048780488,28,58.69,1.49,4.4,6.5,112
121,0.064935065,30,65.58,1.42,3.69,7.08,-60
122,0.043478261,29,63.55,1.45,4.48,6.1,119
123,0.055555556,29,63.55,1.45,4.48,6.1,119
124,0.055555556,29,63.55,1.45,4.48,6.1,119
125,0.0625,60,144,2.06,3.25,32,9
126,0.052631579,30,65.58,1.42,3.69,7.08,-60
127,0.018181818,42,95.96,1.9,3.92,13,72
128,0.041666667,30,65.58,1.42,3.69,7.08,-60
129,0.022988506,28,58.69,1.49,4.4,6.5,112
130,0.013513514,11,22.99,1.9,2.84,23.6,53
131,0.038461538,66,162.5,2.28,3.51,25,1
132,0.038461538,64,157,2.33,3.45,26,13
133,0.0625,30,65.58,1.42,3.69,7.08,-60
134,0.02173913,27,58.93,1.52,4.27,6.8,64
135,0.016393443,25,54.94,1.61,3.47,8.6,-50
136,0.019607843,26,55.85,1.56,4.03,7.5,15
137,0.019607843,26,55.85,1.56,4.03,7.5,15
138,0.019607843,26,55.85,1.56,4.03,7.5,15
139,0.04,29,63.55,1.45,4.48,6.1,119
140,0.035714286,29,63.55,1.45,4.48,6.1,119
141,0.083333333,30,65.58,1.42,3.69,7.08,-60
142,0.035714286,59,141,2.47,3.22,34,11
143,0.038461538,58,140,2.1,3.25,36,55
144,0.027522936,12,24.31,1.45,4.09,10.6,-40
145,0.027027027,20,40.08,1.94,3.07,25,2
146,0.034482759,57,139,2.26,3.02,37,54
147,0.019607843,29,63.55,1.45,4.48,6.1,119
148,0.02739726,30,65.58,1.42,3.69,7.08,-60
149,0.111111111,26,55.85,1.56,4.03,7.5,15
150,0.111111111,26,55.85,1.56,4.03,7.5,15
151,0.111111111,26,55.85,1.56,4.03,7.5,15
152,0.111111111,26,55.85,1.56,4.03,7.5,15
153,0.111111111,26,55.85,1.56,4.03,7.5,15
154,0.111111111,26,55.85,1.56,4.03,7.5,15
155,0.051282051,28,58.69,1.49,4.4,6.5,112
156,0.066666667,29,63.55,1.45,4.48,6.1,119
157,0.066666667,29,63.55,1.45,4.48,6.1,119
158,0.041666667,29,63.55,1.45,4.48,6.1,119
159,0.041666667,29,63.55,1.45,4.48,6.1,119
160,0.041666667,29,63.55,1.45,4.48,6.1,119
161,0.041666667,29,63.55,1.45,4.48,6.1,119
162,0.058823529,59,141,2.47,3.22,34,11
163,0.025,64,157,2.33,3.45,26,13
164,0.01369863,25,54.94,1.61,3.47,8.6,-50
165,0.035714286,29,63.55,1.45,4.48,6.1,119
166,0.03030303,48,112.4,1.61,3.8,6,-70
167,0.090909091,56,137.3,2.53,2.68,39.7,14
168,0.035714286,64,157,2.33,3.45,26,13
169,0.083333333,47,107.9,1.65,4.44,6.3,126
170,0.037037037,20,40.08,1.94,3.07,25,2
171,0.068965517,48,112.4,1.61,3.8,6,-70
172,0.03030303,29,63.55,1.45,4.48,6.1,119
173,0.02189781,66,162.5,2.28,3.51,25,1
174,0.04,27,58.93,1.52,4.27,6.8,64
175,0.076923077,42,95.96,1.9,3.92,13,72
176,0.073170732,29,63.55,1.45,4.48,6.1,119
177,0.020979021,12,24.31,1.45,4.09,10.6,-40
