1 144 Ce 8
2 144 Pr 8
3 144 Nd 8
4 144 Sm 8
5 144 Gd 8
6 356 Co 12
7 224 Zn 16
8 344 Cu 8
9 280 Cd 6
10 78 Zn 16
11 248 Na 8 Cd 8
12 56 Co 2
13 274 Mn 4 V 32
14 274 V 32 Co 4
15 270 Zn 6
16 340 Co 20
17 80 Sm 2
18 80 La 2
19 80 Gd 2
20 80 Nd 2
21 124 Cu 4
22 76 Tm 4
23 128 La 8
24 112 Cu 8
25 22 Cu 2
26 178 Er 4 Cu 6
27 150 Cu 6
28 152 Ni 8
29 160 Cu 12
30 306 Ce 12
31 300 Nd 12
32 172 Ce 4
33 172 Gd 4
34 172 Ce 4
35 75 Cu 3
36 272 Zn 8
37 272 Zn 8
38 96 Ca 6
39 174 Cu 6
40 110 La 2
41 122 La 2
42 112 Cu 4
43 156 Cu 6
44 108 Zn 4
45 112 Zn 8
46 132 Cu 12
47 132 Cu 12
48 213 Cd 6
49 142 Cd 4
50 184 Zn 16
51 176 Cd 8
52 176 Zn 16
53 108 Mn 12
54 84 Mn 12
55 108 Mn 12
56 108 Mn 12
57 108 Mn 12
58 108 Mn 12
59 108 Mn 12
60 126 Co 6
61 108 V 6
62 98 Zn 4
63 98 Zn 4
64 216 Cd 8
65 288 Cu 8
66 288 Ni 8
67 54 Cd 6
68 240 Zn 8
69 240 Mn 8
70 192 Mg 12
71 318 Cu 6
72 224 Cd 4
73 158 Cd 6
74 76 Ce 4
75 144 Zn 4
76 178 Zn 8
77 520 Cd 8
78 148 Zn 8
79 272 Ba 16
80 228 Ag 12
81 70 Ni 2
82 208 Co 8
83 104 Co 4
84 166 Nd 4 Co 6
85 159 Zn 3
86 272 Co 4
87 148 U 16
88 128 Mg 16
89 222 Mn 10
90 54 Ga 10
91 212 Zn 12
92 150 Zn 6
93 150 Zn 6
94 156 Zn 6
95 156 Zn 6
96 144 Zn 6
97 144 Zn 6
98 156 Zn 6
99 156 Zn 6
100 186 Zn 6
101 180 Zn 6
102 218 Co 6
103 272 Ni 6
104 104 Cu 6
105 104 Cu 6
106 104 Cu 6
107 104 Cu 6
108 98 Cu 4
109 124 Ho 4
110 124 Dy 4
111 128 Sm 4
112 128 Pr 4
113 128 Ce 4
