ID,total_number,metal1,number1,ratio1,metal2,number2,ratio2
1615,288,Cu,12,0.041666667,No,0,0
1616,76,Zn,4,0.052631579,No,0,0
1617,214,Pr,4,0.018691589,No,0,0
1618,208,Dy,4,0.019230769,No,0,0
1619,166,Gd,4,0.024096386,Cu,6,0.036144578
1620,166,La,4,0.024096386,Co,6,0.036144578
1621,108,Mn,12,0.111111111,No,0,0
1622,140,Cd,4,0.028571429,No,0,0
1623,180,Cd,4,0.022222222,No,0,0
1624,108,Mn,12,0.111111111,No,0,0
1625,108,Mn,12,0.111111111,No,0,0
1626,184,Zn,12,0.065217391,No,0,0
1627,108,Cu,4,0.037037037,No,0,0
1628,146,Zn,8,0.054794521,No,0,0
1629,98,Co,10,0.102040816,No,0,0
1630,116,Cu,4,0.034482759,No,0,0
1631,116,Cu,4,0.034482759,No,0,0
1632,112,Cu,4,0.035714286,No,0,0
1633,100,Co,4,0.04,No,0,0
1634,116,Cu,4,0.034482759,No,0,0
1635,112,Cu,4,0.035714286,No,0,0
1636,64,Cd,8,0.125,No,0,0
1637,316,Na,4,0.012658228,Cu,8,0.025316456
1638,192,Al,8,0.041666667,No,0,0
1639,352,Ag,16,0.045454545,No,0,0
1640,135,Cu,12,0.088888889,No,0,0
1641,104,Zn,2,0.019230769,No,0,0
1642,136,Zn,2,0.014705882,No,0,0
1643,212,Mn,4,0.018867925,No,0,0
1644,177,Mg,9,0.050847458,No,0,0
1645,408,Cd,4,0.009803922,No,0,0
1646,408,Cd,4,0.009803922,No,0,0
1647,408,Cd,4,0.009803922,No,0,0
1648,408,Cd,4,0.009803922,No,0,0
1649,408,Cd,4,0.009803922,No,0,0
1650,428,Cd,4,0.009345794,No,0,0
1651,408,Cd,4,0.009803922,No,0,0
1652,408,Cd,4,0.009803922,No,0,0
1653,178,La,4,0.02247191,Cu,6,0.033707865
1654,178,Nd,4,0.02247191,Cu,6,0.033707865
1655,74,Cd,6,0.081081081,No,0,0
1656,216,Cu,12,0.055555556,No,0,0
1657,108,Fe,6,0.055555556,No,0,0
1658,156,Cu,12,0.076923077,No,0,0
1659,156,Cu,12,0.076923077,No,0,0
1660,272,Co,16,0.058823529,No,0,0
1661,180,Zn,4,0.022222222,No,0,0
1662,74,La,2,0.027027027,No,0,0
1663,156,In,4,0.025641026,No,0,0
1664,174,Cu,4,0.022988506,No,0,0
1665,156,Cu,12,0.076923077,No,0,0
1666,156,Cu,12,0.076923077,No,0,0
1667,156,Cu,12,0.076923077,No,0,0
1668,156,Cu,12,0.076923077,No,0,0
1669,156,Cu,12,0.076923077,No,0,0
1670,156,Cu,12,0.076923077,No,0,0
1671,156,Cu,12,0.076923077,No,0,0
1672,198,Zn,8,0.04040404,No,0,0
1673,57,Co,3,0.052631579,No,0,0
1674,100,Gd,4,0.04,No,0,0
1675,212,Cu,4,0.018867925,No,0,0
1676,216,V,12,0.055555556,No,0,0
1677,132,Cu,4,0.03030303,No,0,0
1678,132,Cu,4,0.03030303,No,0,0
1679,67,Zn,3,0.044776119,No,0,0
1680,30,Sr,2,0.066666667,No,0,0
1681,112,Zn,8,0.071428571,No,0,0
1682,52,Zn,4,0.076923077,No,0,0
1683,208,Gd,4,0.019230769,No,0,0
1684,208,Gd,4,0.019230769,No,0,0
1685,260,Gd,4,0.015384615,No,0,0
1686,260,Gd,4,0.015384615,No,0,0
1687,208,Gd,4,0.019230769,No,0,0
1688,108,Mg,12,0.111111111,No,0,0
1689,108,Mg,12,0.111111111,No,0,0
1690,108,Mg,12,0.111111111,No,0,0
1691,108,Mg,12,0.111111111,No,0,0
1692,108,Mg,12,0.111111111,No,0,0
1693,208,Ni,8,0.038461538,No,0,0
1694,156,Mg,12,0.076923077,No,0,0
1695,224,Ca,8,0.035714286,No,0,0
1696,89,Zn,5,0.056179775,No,0,0
1697,91,Zn,5,0.054945055,No,0,0
1698,300,Zn,4,0.013333333,No,0,0
1699,98,Cd,2,0.020408163,No,0,0
1700,144,Mn,4,0.027777778,No,0,0
1701,144,Zn,4,0.027777778,No,0,0
1702,144,Zn,4,0.027777778,No,0,0
1703,144,Zn,4,0.027777778,No,0,0
1704,144,Zn,4,0.027777778,No,0,0
1705,272,Y,8,0.029411765,No,0,0
1706,140,Zn,4,0.028571429,No,0,0
1707,138,Co,2,0.014492754,No,0,0
1708,138,Co,6,0.043478261,No,0,0
1709,138,Co,6,0.043478261,No,0,0
1710,138,Co,6,0.043478261,No,0,0
1711,114,Na,4,0.035087719,Zn,4,0.035087719
1712,131,Mn,1,0.007633588,Zn,2,0.015267176
1713,136,Zn,8,0.058823529,No,0,0
1714,160,La,4,0.025,No,0,0
1715,120,Co,8,0.066666667,No,0,0
1716,88,Zn,8,0.090909091,No,0,0
1717,216,Zn,16,0.074074074,No,0,0
1718,108,Ni,12,0.111111111,No,0,0
1719,108,Mn,12,0.111111111,No,0,0
1720,82,Zn,8,0.097560976,No,0,0
1721,82,Zn,8,0.097560976,No,0,0
1722,60,Cu,2,0.033333333,No,0,0
1723,360,Er,4,0.011111111,No,0,0
1724,224,Cu,8,0.035714286,No,0,0
1725,82,Ni,2,0.024390244,No,0,0
1726,56,Ce,2,0.035714286,No,0,0
1727,100,Zn,8,0.08,No,0,0
1728,137,Zn,3,0.02189781,No,0,0
1729,93,Cu,3,0.032258065,No,0,0
1730,112,Ho,4,0.035714286,No,0,0
1731,112,Dy,4,0.035714286,No,0,0
1732,112,Nd,4,0.035714286,No,0,0
1733,56,Li,4,0.071428571,No,0,0
1734,56,Li,4,0.071428571,No,0,0
1735,56,Li,4,0.071428571,No,0,0
1736,342,Zn,18,0.052631579,No,0,0
1737,404,Zn,12,0.02970297,No,0,0
1738,208,Zn,8,0.038461538,No,0,0
1739,108,Co,12,0.111111111,No,0,0
1740,108,Co,12,0.111111111,No,0,0
1741,228,Cd,4,0.01754386,No,0,0
1742,98,Co,2,0.020408163,No,0,0
1743,196,Zn,4,0.020408163,No,0,0
1744,176,Zn,6,0.034090909,No,0,0
1745,288,Zn,8,0.027777778,No,0,0
1746,170,Zn,4,0.023529412,No,0,0
1747,288,Zn,8,0.027777778,No,0,0
1748,36,Cd,4,0.111111111,No,0,0
1749,44,Cd,4,0.090909091,No,0,0
1750,56,Mn,4,0.071428571,Hg,4,0.071428571
1751,36,Fe,2,0.055555556,No,0,0
1752,74,Ba,6,0.081081081,U,8,0.108108108
1753,72,In,4,0.055555556,No,0,0
1754,162,Cu,6,0.037037037,No,0,0
1755,96,Zn,16,0.166666667,No,0,0
1756,252,Pd,12,0.047619048,No,0,0
1757,76,Zn,4,0.052631579,No,0,0
1758,236,Zn,12,0.050847458,No,0,0
1759,212,Cd,20,0.094339623,No,0,0
1760,76,Dy,4,0.052631579,No,0,0
1761,40,Yb,2,0.05,Pt,4,0.1
1762,134,Ba,2,0.014925373,No,0,0
1763,184,Ho,8,0.043478261,No,0,0
1764,144,Zn,6,0.041666667,No,0,0
1765,68,Pb,4,0.058823529,No,0,0
1766,146,Zn,8,0.054794521,No,0,0
1767,42,Sr,4,0.095238095,Cu,2,0.047619048
1768,17,Cd,3,0.176470588,No,0,0
1769,17,Cd,3,0.176470588,No,0,0
1770,34,Cd,6,0.176470588,No,0,0
1771,68,Cd,12,0.176470588,No,0,0
1772,34,Cd,6,0.176470588,No,0,0
1773,84,Zn,6,0.071428571,No,0,0
1774,102,Cu,6,0.058823529,No,0,0
1775,44,Cu,4,0.090909091,No,0,0
1776,72,Sr,8,0.111111111,No,0,0
1777,104,Al,8,0.076923077,No,0,0
1778,66,Mn,2,0.03030303,No,0,0
1779,264,Pr,8,0.03030303,No,0,0
1780,165,Ce,3,0.018181818,No,0,0
1781,166,Dy,4,0.024096386,No,0,0
1782,122,Zn,4,0.032786885,No,0,0
1783,352,Co,16,0.045454545,No,0,0
1784,156,Cd,4,0.025641026,No,0,0
1785,172,Zn,4,0.023255814,No,0,0
1786,90,Cd,2,0.022222222,No,0,0
1787,124,Mn,4,0.032258065,No,0,0
1788,128,Ce,4,0.03125,No,0,0
1789,34,Cu,2,0.058823529,No,0,0
1790,220,Ce,4,0.018181818,No,0,0
1791,68,Cu,4,0.058823529,No,0,0
1792,260,Zn,8,0.030769231,No,0,0
1793,72,Li,8,0.111111111,No,0,0
1794,120,Ca,4,0.033333333,No,0,0
1795,48,Zn,1,0.020833333,No,0,0
1796,96,Co,2,0.020833333,No,0,0
1797,74,Dy,2,0.027027027,No,0,0
1798,74,Gd,2,0.027027027,No,0,0
1799,272,Zn,16,0.058823529,No,0,0
1800,272,Zn,16,0.058823529,No,0,0
1801,272,Zn,16,0.058823529,No,0,0
1802,210,Zn,10,0.047619048,No,0,0
1803,276,Zn,12,0.043478261,No,0,0
1804,252,Zn,12,0.047619048,No,0,0
1805,156,Cr,12,0.076923077,No,0,0
1806,100,Cu,4,0.04,No,0,0
1807,100,Cu,4,0.04,No,0,0
1808,141,Co,3,0.021276596,No,0,0
1809,188,Co,4,0.021276596,No,0,0
1810,170,Cu,4,0.023529412,No,0,0
1811,68,Zn,4,0.058823529,No,0,0
1812,54,Zn,2,0.037037037,No,0,0
1813,54,Zn,6,0.111111111,No,0,0
1814,98,Zn,4,0.040816327,No,0,0
1815,54,Zn,6,0.111111111,No,0,0
1816,30,Cd,1,0.033333333,Ni,1,0.033333333
