Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
83,4.67307,6.02233,0.115011,0,0.11994236,1.042877249
84,7.44113,8.68497,0.159566,272.052725,0.11615564,0.727947333
85,4.98641,5.49305,0.0896596,0,0.09688773,1.080617471
86,4.33587,5.2013,0.126286,43.892793,0.12263905,0.971121496
87,5.67072,7.29809,0.46142,472.673056,0.16969421,0.367765188
88,4.73903,4.96228,0.0664092,0,0.04430342,0.667127681
89,7.46421,8.71336,0.325156,1051.326658,0.42219957,1.298452329
90,3.3801,4.0216,0.551953,123.198395,0.19044912,0.345045903
91,3.43888,4.29833,0.018265,0,0.01261318,0.690565506
92,10.50323,10.60137,0.252762,797.690653,0.28658579,1.133816772
93,10.33306,10.42751,0.242816,762.824824,0.27169981,1.118953487
94,10.54228,10.6501,0.240865,681.364034,0.2379215,0.987779455
95,9.45825,10.47999,0.235953,664.748113,0.23105475,0.979240557
96,10.2794,10.37126,0.244089,768.693182,0.2733081,1.119706745
97,10.32251,10.4168,0.242038,764.445502,0.27195033,1.123585262
98,10.72226,10.81664,0.242735,593.277555,0.20828521,0.858076562
99,9.27688,9.34778,0.232666,650.76125,0.2255759,0.969526707
100,9.91723,10.02002,0.195988,558.103654,0.19795499,1.010036265
101,10.21874,10.32502,0.201792,592.808413,0.21011935,1.041267001
102,5.88284,10.21454,0.260518,829.127218,0.34101272,1.308979478
103,5.52182,7.98704,0.245002,272.231091,0.3357944,1.370578204
104,3.93445,5.86916,0.0636574,0,0.05016183,0.787996917
105,4.10863,4.93056,0.0483115,0,0.03701695,0.766213984
106,3.8422,5.40312,0.039233,0,0.02953899,0.752911748
107,3.61894,4.63056,0.033358,0,0.02470626,0.74063964
108,6.70427,7.12611,0.109859,185.924391,0.07617315,0.693371946
109,4.30913,6.02407,0.172741,1.951126,0.14857767,0.860118144
110,4.17305,5.82723,0.164319,0.967594,0.14114762,0.858985415
111,4.25173,6.01947,0.182026,4.978841,0.16388726,0.90035083
112,4.2463,6.01939,0.179679,5.490627,0.1666474,0.927472882
113,4.21472,6.47839,0.175517,14.918944,0.1651869,0.941144734
114,4.17826,6.44971,0.170327,15.608876,0.16051715,0.94240576
115,5.82599,6.17717,0.196359,5.730349,0.26227931,1.335713206
116,4.52192,6.09324,0.200586,183.899563,0.20212956,1.00769526
117,3.76976,4.04451,0.0465476,0,0.03567446,0.766408132
118,4.58971,5.61731,0.137696,85.959786,0.11675187,0.84789585
119,3.94037,5.27949,0.480723,928.283664,0.27353919,0.569016241
120,5.25015,14.75972,0.318937,1064.821505,0.43129765,1.352297311
121,6.66574,12.31272,0.421291,2022.44011,0.64536549,1.5318758
122,3.95002,5.79346,0.105747,1.168915,0.10358385,0.979544092
