Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
216,-6337.27189,-2547.45399,-1283.07677,-1296.118,0.0116606,4.78E-07,5.30E-07,2.69E-07
217,-8901.05519,-3747.95759,-1904.44709,-1849.41989,0.374485,7.33E-07,8.76E-07,3.33E-07
218,-7885.69539,-2314.45395,-1591.71911,-1576.20452,0.571504,1.15E-06,1.25E-06,5.23E-07
219,-7890.81264,-2408.37074,-1633.4586,-1613.04713,0.307907,1.22E-06,1.33E-06,5.46E-07
220,-4171.22465,-3828.06542,-930.41794,-918.84968,0.000360885,4.99E-07,5.36E-07,3.31E-07
221,-6750.84464,-2204.27796,-1356.05783,-1340.68587,0.0195802,6.40E-07,7.09E-07,3.50E-07
222,-6558.95932,-1876.9445,-1499.82852,-1503.57082,0.030029,1.01E-06,1.20E-06,5.54E-07
223,-7154.37128,-2007.87104,-1763.01761,-1776.67824,0.0055051,7.41E-07,9.97E-07,4.28E-07
224,-7166.42822,-2051.206,-1765.58063,-1777.18557,0.00558766,7.39E-07,9.95E-07,4.27E-07
225,-6275.76923,-4267.264,-1395.24617,-1407.73492,0.00916237,6.56E-07,8.76E-07,4.69E-07
226,-9007.13617,-4053.73825,-2018.40174,-1954.64318,0.411312,7.07E-07,7.88E-07,2.67E-07
227,-7706.50522,-956.6026,-1222.84595,-1281.72218,0.00949918,5.76E-07,6.81E-07,3.63E-07
228,-8023.21823,-1182.32696,-1246.52976,-1309.64319,0.0160495,5.87E-07,6.94E-07,3.67E-07
229,-6855.72728,-3041.82968,-1365.84879,-1369.87579,0.0324099,8.18E-07,9.19E-07,4.49E-07
230,-7121.76544,-2950.58477,-1401.15713,-1403.07052,0.0433255,7.13E-07,8.07E-07,3.89E-07
231,-7002.81897,-3265.27166,-1389.77839,-1393.49137,0.0351428,7.08E-07,8.01E-07,3.86E-07
232,-6619.63881,-3151.58273,-1320.62264,-1327.57432,0.0192597,7.10E-07,7.99E-07,4.00E-07
233,-6759.91542,-3390.84828,-1325.97943,-1335.91196,0.022068,6.73E-07,7.63E-07,3.81E-07
234,-6709.95356,-3240.74082,-1337.73315,-1345.94598,0.0218001,7.02E-07,7.92E-07,3.92E-07
235,-6855.45166,-3584.09108,-1364.45754,-1369.40344,0.0280191,6.92E-07,7.83E-07,3.83E-07
236,-6882.86342,-2956.62121,-1360.34,-1367.72408,0.0276722,6.76E-07,7.67E-07,3.76E-07
237,-6919.89815,-3243.92107,-1372.1477,-1378.50402,0.0304067,6.86E-07,7.78E-07,3.79E-07
238,-7070.44536,-16068.12995,-2071.38785,-1485.32642,0.00389704,1.54E-07,1.85E-07,9.62E-08
239,-8379.53146,-4077.98154,-1788.05833,-1763.86342,0.129224,5.70E-07,6.56E-07,2.59E-07
240,-8358.85598,-4223.74163,-1776.80151,-1751.66454,0.134338,5.86E-07,6.70E-07,2.67E-07
241,-8524.13359,-4564.33836,-1790.35432,-1759.60031,0.260716,6.87E-07,7.79E-07,3.02E-07
242,-8594.6976,-4784.62532,-1812.06461,-1777.99867,0.315191,7.15E-07,8.06E-07,3.09E-07
243,-6210.15369,-6459.5631,-1534.50267,-1542.21603,0.00665404,9.25E-07,1.11E-06,5.13E-07
244,-4762.13812,-3272.19205,-988.4243,-951.18123,0.00107824,4.95E-07,5.29E-07,3.26E-07
245,-4865.51777,-6146.43164,-1066.81953,-1069.10348,0.00120072,6.96E-07,7.86E-07,4.58E-07
246,-4743.32376,-6034.86361,-1060.51631,-1063.92489,0.00110069,6.92E-07,7.81E-07,4.55E-07
247,-5041.44517,-6233.33424,-1079.58874,-1080.8425,0.00152888,7.13E-07,8.05E-07,4.62E-07
248,-4850.3683,-6077.81825,-1064.06479,-1063.02041,0.00113701,6.96E-07,7.86E-07,4.59E-07
249,-7880.83874,-5770.1907,-1732.43446,-1634.47964,0.278262,8.93E-07,9.75E-07,3.99E-07
250,-7303.65299,-1479.25726,-1405.05031,-1397.08288,0.00616103,4.37E-07,5.05E-07,2.57E-07
251,-7015.58803,-3931.14942,-1493.49531,-1437.2472,0.0124934,3.86E-07,4.44E-07,2.17E-07
252,-2948.56415,-1901.78602,-2071.83357,-2028.73321,8.74E-08,3.42E-07,4.90E-07,1.97E-07
253,-7020.48453,-5199.66382,-1739.06225,-1623.809,0.0171112,6.39E-07,7.28E-07,3.12E-07
254,-8381.7307,-3269.17601,-1975.34267,-2075.86851,0.0828303,5.96E-07,8.03E-07,3.24E-07
255,-6193.0448,-1831.67409,-1630.40603,-1593.91957,0.000691543,6.56E-07,8.14E-07,3.76E-07
256,-7466.88569,-2822.42281,-1619.86167,-1625.66791,0.0264339,6.69E-07,8.18E-07,3.73E-07
257,-7162.78982,-1926.69534,-1477.63939,-1480.26694,0.1476,8.43E-07,9.35E-07,4.23E-07
258,-5713.16466,-7502.16366,-1530.31406,-1376.40467,0.00026605,5.75E-07,7.38E-07,3.95E-07
259,-6820.90298,-7038.16388,-1589.76522,-1494.20745,0.0216981,6.74E-07,7.69E-07,3.49E-07
260,-887.72679,-3536.86203,-1647.08396,-1719.46038,3.11E-10,1.91E-07,3.34E-07,1.83E-07
261,-7084.81197,-2988.1037,-1457.26852,-1474.08925,0.0775049,6.89E-07,7.83E-07,3.68E-07
262,-439.51487,-3753.4954,-1653.55418,-1702.53998,2.82E-10,4.10E-07,5.65E-07,2.72E-07
263,-7013.93946,-5900.08425,-1634.89716,-1578.75153,0.0049244,5.44E-07,6.91E-07,3.23E-07
264,-6912.75571,-6031.56947,-1615.21064,-1550.33295,0.00416348,5.67E-07,7.11E-07,3.32E-07
265,-5989.16938,-6777.10089,-1348.8197,-1389.30778,0.00516382,2.93E-07,3.46E-07,1.71E-07
266,-6634.21761,-1900.00893,-1501.41843,-1506.94696,0.00406704,1.06E-06,1.31E-06,6.01E-07
267,-4938.00447,-6379.28701,-1087.10978,-1107.07447,0.00094995,4.88E-07,5.89E-07,3.58E-07
268,-6861.03449,-11951.56976,-1803.08953,-1740.45117,0.020529,7.13E-07,9.39E-07,4.24E-07
269,-6791.45874,-11172.25716,-1778.47019,-1721.44819,0.0196663,7.07E-07,9.31E-07,4.22E-07
270,-6727.64732,-2189.75366,-1344.16787,-1351.68668,0.0534089,9.65E-07,1.06E-06,5.07E-07
271,-4131.67103,-2222.97532,-798.42598,-804.00337,0.000437953,1.08E-06,1.18E-06,7.73E-07
272,-6528.70372,-3447.47989,-1382.74471,-1348.44172,0.0229683,4.90E-07,5.32E-07,2.58E-07
273,-6236.11504,-5917.22974,-1314.56432,-1299.47779,0.00423878,2.33E-07,2.60E-07,1.33E-07
274,-2823.79326,-1039.778,-593.4977,-576.66502,1.03E-05,2.23E-07,2.48E-07,1.95E-07
275,-2809.6642,-1035.77552,-591.05284,-573.96468,1.02E-05,2.24E-07,2.48E-07,1.96E-07
276,-2837.79929,-1033.90018,-596.84351,-577.31058,1.05E-05,2.23E-07,2.48E-07,1.95E-07
277,-6753.80023,-2845.97498,-1404.76141,-1377.97404,0.0927004,8.71E-07,9.41E-07,4.35E-07
278,-6549.84797,-6220.60729,-2125.6518,-2022.21287,0.000571059,6.66E-07,8.17E-07,3.11E-07
279,-7313.01319,-1222.20087,-1079.37403,-1145.76324,0.003273,7.32E-07,8.40E-07,4.76E-07
280,-7247.2715,-1213.46099,-1076.65553,-1147.46686,0.00347348,7.30E-07,8.39E-07,4.78E-07
281,-7307.23488,-1220.1017,-1080.05147,-1147.92876,0.00342076,7.32E-07,8.40E-07,4.78E-07
282,-7323.1968,-1218.27036,-1077.3723,-1145.13367,0.00354696,7.30E-07,8.39E-07,4.78E-07
283,-7326.79519,-1229.43586,-1076.26714,-1146.55104,0.00332156,7.30E-07,8.40E-07,4.77E-07
