Order,I2-heat,H2O-heat,N2-heat,O2-heat,I2-henry,N2-henry,O2-henry,H2O-henry
401,7129.60303,-18790.25813,-1976.83232,-2024.11601,1.13E-18,1.21E-07,2.18E-07,1.07E-07
402,-6390.42458,-8815.1251,-1309.58099,-1290.55138,0.0197831,4.09E-07,4.44E-07,2.31E-07
403,-5806.95556,-4147.81098,-1142.44931,-1131.02306,0.00829674,8.07E-07,8.83E-07,4.92E-07
404,-5833.69888,-5423.53426,-1246.97544,-1190.75791,0.00647839,4.16E-07,4.49E-07,2.41E-07
405,-7285.42406,-3336.89903,-1414.95594,-1377.37366,0.0467547,6.92E-07,7.98E-07,4.07E-07
406,-4588.77769,-844.29249,-987.82021,-1010.75753,0.00135228,8.00E-07,8.70E-07,5.06E-07
407,-4744.06148,-899.64318,-1021.28181,-1041.52383,0.00143126,6.83E-07,7.49E-07,4.29E-07
408,-5234.8506,-852.48398,-1070.00082,-1087.87528,0.0030133,8.50E-07,9.29E-07,5.14E-07
409,-9970.17718,-1965.9687,-2489.05999,-2364.7519,0.317303,2.34E-07,2.63E-07,8.24E-08
410,-10670.51029,-2121.73472,-2566.37866,-2437.60955,1.78895,3.03E-07,3.41E-07,9.81E-08
411,-4303.31816,-15718.16477,-2268.11557,-980.83608,0.000182301,2.45E-07,2.77E-07,1.81E-07
412,-6155.56662,-2751.07451,-1408.21655,-1444.34821,0.00789374,5.77E-07,7.04E-07,3.45E-07
413,-5778.40164,-2386.52903,-1087.24742,-1150.43285,0.00165396,4.01E-07,4.60E-07,2.68E-07
414,-6033.36302,-3444.45416,-1301.06086,-1299.26315,0.0147748,8.20E-07,9.12E-07,4.58E-07
415,-5966.32854,-3042.9493,-1276.87439,-1281.1199,0.0138062,8.27E-07,9.26E-07,4.69E-07
416,-6669.02241,-2891.81296,-1388.72533,-1395.00292,0.0557474,9.49E-07,1.08E-06,5.17E-07
417,-6505.90604,-2498.42393,-1353.66481,-1370.31908,0.0382491,9.31E-07,1.06E-06,5.18E-07
418,4837.23917,-18858.91689,-1971.43934,-1985.71237,2.99E-16,1.36E-07,2.34E-07,1.11E-07
419,-3698.16922,-19825.84085,-2187.98538,-1479.0168,3.41E-07,1.41E-07,1.95E-07,1.09E-07
420,-5432.70083,-22385.39444,-2353.42932,-1481.38029,5.67E-05,1.59E-07,2.08E-07,1.14E-07
421,-4004.04824,-21595.39388,-2260.52403,-1413.05484,1.58E-06,1.62E-07,2.11E-07,1.20E-07
422,-7393.42855,-3838.39811,-1482.54786,-1467.73302,0.00974652,3.90E-07,4.59E-07,2.24E-07
423,-6577.26205,-3515.00379,-1224.58501,-1197.67718,0.0214899,1.14E-06,1.24E-06,6.48E-07
424,-6664.65866,-2706.37504,-1351.49092,-1321.21458,0.0185645,2.61E-07,2.80E-07,1.38E-07
425,-8592.23785,-3270.83502,-1820.19299,-1755.84964,0.383018,5.21E-07,5.73E-07,2.18E-07
426,-5421.25815,-15340.60302,-1461.61245,-1144.37195,0.000379935,1.07E-07,1.27E-07,8.10E-08
427,-7263.6026,-2897.15514,-1840.57,-1837.41428,0.0117873,6.63E-07,9.16E-07,3.96E-07
428,-5190.17743,-1378.10852,-1089.08337,-1120.58062,0.00150537,5.44E-07,6.35E-07,3.68E-07
429,-5251.04549,-14306.56703,-1214.00579,-1125.49448,0.000531773,2.24E-07,2.59E-07,1.55E-07
430,-5647.53893,-2042.99648,-1095.49433,-1112.02668,0.0033445,8.72E-07,9.74E-07,5.49E-07
431,-5275.12922,-2489.10429,-1114.62335,-1111.37329,0.00205635,8.06E-07,8.98E-07,5.05E-07
432,-3695.43365,-1207.26895,-719.02418,-741.71129,0.000202798,9.09E-07,9.89E-07,6.87E-07
433,-5226.6894,-6421.32654,-1469.09815,-1376.61773,4.54E-05,2.02E-07,2.63E-07,1.41E-07
434,-5366.09237,-1200.59096,-1155.28333,-1194.35746,0.00407157,6.14E-07,6.94E-07,3.84E-07
435,-9097.70504,-1701.77599,-1096.91748,-1123.28582,0.303321,7.95E-07,8.83E-07,5.05E-07
436,-4534.50954,-4048.48714,-1627.06044,-1501.01145,2.40E-06,1.24E-07,1.74E-07,1.03E-07
437,-3900.25909,-7676.27647,-2060.46693,-1961.83884,5.94E-07,3.57E-07,4.66E-07,1.83E-07
438,-8762.26268,-5688.34293,-1008.91737,-1008.34885,0.212554,8.10E-07,8.75E-07,5.40E-07
439,-7348.72371,-7231.76462,-1492.12084,-1470.40715,0.141046,9.57E-07,1.09E-06,4.95E-07
440,-5125.21832,-7367.51007,-1213.9764,-1140.76834,0.00208311,8.59E-07,9.42E-07,5.13E-07
441,-7459.19654,-16626.48707,-1588.27236,-1448.55452,0.056066,4.93E-07,5.60E-07,2.80E-07
442,-5780.61473,-7319.99691,-1374.62696,-1233.36283,0.00423482,5.24E-07,5.90E-07,3.17E-07
443,-3347.46575,-4356.48225,-1497.12259,-1503.5906,3.38E-07,3.87E-07,5.84E-07,3.28E-07
444,-6913.95499,-4883.46114,-1475.27866,-1407.41437,0.039903,6.01E-07,6.70E-07,3.23E-07
445,-6826.16725,-3906.45335,-1422.1742,-1390.59109,0.0719011,8.38E-07,9.20E-07,4.35E-07
446,-5679.99715,-1811.99562,-1212.80535,-1208.03554,0.00675211,5.50E-07,6.03E-07,3.17E-07
447,-5911.5233,-1684.27763,-1253.83889,-1258.42848,0.00987507,5.44E-07,6.00E-07,3.09E-07
448,-7318.83292,-6759.283,-1547.65263,-1469.46941,0.108641,6.66E-07,7.38E-07,3.36E-07
449,-7309.48364,-6758.85914,-1543.54616,-1465.44065,0.108615,6.70E-07,7.43E-07,3.37E-07
450,-7281.18437,-6740.9566,-1538.23761,-1459.47661,0.104392,6.70E-07,7.42E-07,3.40E-07
451,-7242.97898,-6788.55753,-1526.01252,-1452.11929,0.100296,6.72E-07,7.42E-07,3.42E-07
452,-7236.80075,-6764.88517,-1523.96061,-1450.57185,0.0998448,6.75E-07,7.47E-07,3.44E-07
453,-7195.0335,-6729.66088,-1513.09683,-1442.84236,0.0961137,6.77E-07,7.52E-07,3.47E-07
454,-7253.60596,-6848.59848,-1539.2882,-1454.70204,0.0938455,6.46E-07,7.16E-07,3.30E-07
455,-7286.15656,-6835.94165,-1543.69155,-1462.67557,0.104698,6.66E-07,7.37E-07,3.39E-07
456,-7346.38482,-6799.66824,-1554.1873,-1471.90332,0.113034,6.61E-07,7.30E-07,3.33E-07
457,-4597.77597,-2318.21017,-976.2428,-982.91959,0.000349573,2.77E-07,3.13E-07,1.98E-07
458,-4598.4826,-2262.5711,-979.00353,-984.28297,0.000361634,2.70E-07,3.04E-07,1.92E-07
459,-9172.34618,-4823.67672,-2078.13287,-1919.41676,0.616049,7.25E-07,8.32E-07,3.12E-07
460,-7832.45727,-3760.51275,-2164.38246,-2065.85114,0.0187479,1.00E-06,1.15E-06,3.91E-07
461,-7546.94942,-1467.92641,-1075.62396,-1136.62243,0.00597274,7.42E-07,8.46E-07,4.82E-07
462,-4403.8772,-2309.83653,-1577.92605,-1530.44422,3.99E-06,1.50E-07,1.96E-07,1.01E-07
463,-3769.75082,-2501.74982,-1662.70134,-1607.08889,6.83E-07,1.46E-07,1.96E-07,9.95E-08
464,-1425.12587,-15791.15217,-1701.03432,-1086.27835,4.31E-09,7.14E-08,1.10E-07,8.37E-08
465,-5936.63974,-4271.10943,-1162.73597,-1112.79969,0.00101605,1.61E-07,1.80E-07,1.04E-07
466,-5940.46757,-4189.58571,-1162.42932,-1113.28719,0.00101925,1.61E-07,1.80E-07,1.04E-07
467,-5032.57069,-7127.59891,-1507.14389,-1354.82249,3.49E-05,2.01E-07,2.54E-07,1.37E-07
468,-1457.54623,-9962.59617,-1717.43974,-1432.94363,1.68E-09,7.88E-08,1.18E-07,7.45E-08
469,-2355.98846,-4774.16889,-2406.93211,-2258.97357,2.29E-08,5.86E-07,9.18E-07,3.34E-07
470,-7649.52494,-11819.73365,-1669.60897,-1568.7897,0.0876317,4.32E-07,4.94E-07,2.15E-07
471,-6731.60548,-10256.28546,-1497.27862,-1393.77371,0.0308726,4.89E-07,5.41E-07,2.53E-07
472,-8041.71441,-2657.7365,-1630.25982,-1639.95774,0.0956659,7.24E-07,8.56E-07,3.67E-07
473,-6429.61231,-1884.55246,-904.04407,-917.51462,0.00409814,8.53E-07,9.37E-07,5.92E-07
474,-8356.18822,-2227.24359,-1394.10423,-1408.80422,0.0795069,6.98E-07,7.86E-07,3.78E-07
475,-6388.5908,-1895.75651,-795.91716,-817.07573,0.00378665,8.76E-07,9.57E-07,6.42E-07
476,-8367.8446,-1542.87786,-1333.97182,-1382.53067,0.073936,7.51E-07,8.60E-07,4.27E-07
477,-6496.45655,-1507.63111,-759.73025,-782.91483,0.00428488,9.17E-07,9.95E-07,6.80E-07
478,-6185.55579,-4523.28278,-1261.48938,-1253.48738,0.0120208,6.75E-07,8.00E-07,4.30E-07
479,-4524.31344,-6328.263,-1595.41025,-1221.56026,0.000273339,3.04E-07,3.52E-07,2.19E-07
480,-3920.11956,-10590.65742,-1055.00562,-817.64021,0.000181914,5.52E-07,6.16E-07,4.18E-07
481,-5109.49502,-4554.42347,-992.03711,-1009.44582,0.00135155,6.18E-07,6.74E-07,4.03E-07
482,-7192.9627,-2962.54944,-1368.78685,-1374.30541,0.0457762,6.39E-07,7.27E-07,3.66E-07
483,-5460.75817,-17333.10922,-1937.01311,-1521.20304,0.000146064,2.80E-07,3.57E-07,1.88E-07
484,-5652.40096,-1988.57614,-1868.47976,-1819.85815,0.00039906,7.77E-07,9.22E-07,3.50E-07
485,3494.18711,-10702.80831,-1816.57537,-1618.2816,1.29E-14,1.05E-07,1.78E-07,9.82E-08
486,-6816.58095,-3208.46401,-1466.03787,-1457.15021,0.0274841,6.93E-07,8.42E-07,4.12E-07
487,-5363.40405,-2182.62022,-1105.70956,-1121.68642,0.00180145,7.74E-07,8.55E-07,4.83E-07
488,-5156.89775,-7154.08303,-1006.483,-977.9776,0.00115469,1.85E-07,2.00E-07,1.28E-07
489,-5443.07898,-17452.26468,-2211.45071,-1365.27861,0.000204395,2.33E-07,2.65E-07,1.45E-07
490,-5155.34968,-16265.59911,-1998.15272,-1344.10795,0.000132076,2.41E-07,2.78E-07,1.54E-07
491,-5069.81024,-17439.5553,-2120.73841,-1359.57631,0.000108369,2.42E-07,2.79E-07,1.54E-07
492,-4847.47505,-17804.69147,-2139.1378,-1388.83063,5.34E-05,2.36E-07,2.78E-07,1.52E-07
493,-4772.72667,-17180.51171,-2066.73589,-1394.86231,4.72E-05,2.36E-07,2.77E-07,1.50E-07
494,-4464.36552,-13284.34166,-1889.95928,-1462.25375,2.39E-05,2.99E-07,3.57E-07,1.87E-07
495,-6404.98696,-1822.86047,-1328.06589,-1341.80147,0.0390296,9.53E-07,1.04E-06,4.99E-07
496,-6160.16451,-1814.30384,-1303.54236,-1317.69496,0.0185914,5.71E-07,6.20E-07,3.03E-07
497,-6623.29122,-3025.62847,-1408.72019,-1412.40147,0.0218928,5.70E-07,6.34E-07,3.02E-07
498,-4303.85374,-1454.83009,-963.72821,-942.60458,5.09E-05,2.15E-07,2.58E-07,1.75E-07
499,-7001.87635,-3119.52404,-1104.50338,-1089.69728,0.0317845,6.63E-07,7.02E-07,3.93E-07
500,-6145.02869,-1717.55779,-1264.92464,-1257.57425,0.0151303,9.47E-07,1.04E-06,5.29E-07
501,-7065.45684,-5317.85512,-1738.59485,-1668.28941,0.00644757,3.52E-07,4.15E-07,1.81E-07
502,-7552.98584,-1692.41372,-1542.54191,-1495.41265,0.256156,9.70E-07,1.03E-06,4.45E-07
503,-6961.90978,-4692.76285,-1463.66467,-1416.68028,0.0436924,6.93E-07,7.86E-07,3.83E-07
504,-7694.57245,-2552.48575,-1791.35373,-1717.97114,0.0407339,7.72E-07,8.97E-07,3.59E-07
505,-3671.64023,-12232.39857,-812.50775,-736.91848,9.33E-05,4.05E-07,4.41E-07,3.10E-07
506,-4567.51709,-6238.72635,-1255.88365,-1273.01877,0.000285344,3.74E-07,4.46E-07,2.46E-07
507,-6075.02848,-14345.39469,-1435.71283,-1244.87097,0.00686062,7.63E-07,8.36E-07,4.32E-07
508,-5126.59837,-14217.48262,-1513.41501,-1331.29105,0.00108895,8.06E-07,8.91E-07,4.41E-07
509,-4996.98996,-14460.79982,-1804.85144,-1512.29531,0.000271698,6.94E-07,8.77E-07,4.20E-07
510,-4754.80352,-14558.3726,-2041.63507,-1625.82708,3.12E-05,4.06E-07,6.51E-07,3.37E-07
511,-5541.77543,-14428.67476,-1644.12219,-1413.84052,0.00150727,7.92E-07,9.07E-07,4.36E-07
512,-5024.33792,-14474.45397,-1851.25305,-1546.79864,0.000187679,6.79E-07,8.72E-07,4.15E-07
513,-5559.89573,-12258.51239,-2004.17619,-1933.32051,3.36E-05,6.39E-07,8.72E-07,3.39E-07
514,-5340.89278,-14171.57968,-1586.00317,-1394.23305,0.0012843,7.93E-07,9.09E-07,4.38E-07
515,-6691.17395,-12315.54462,-1730.90314,-1675.2536,0.0211685,7.49E-07,9.17E-07,3.91E-07
516,-5805.94547,-14324.15525,-1581.2675,-1378.83664,0.00257363,7.82E-07,8.94E-07,4.36E-07
517,-6805.86269,-3447.95161,-1365.00043,-1368.76145,0.025027,6.97E-07,7.90E-07,3.86E-07
518,-6709.36523,-7241.65869,-1486.58772,-1505.18231,0.0300962,5.95E-07,7.19E-07,3.47E-07
519,-4605.66837,-5877.06821,-934.6684,-918.45683,0.000435734,1.77E-07,1.93E-07,1.28E-07
520,-4914.72265,-1795.08879,-1307.56127,-1586.31648,0.00130845,5.47E-07,7.38E-07,3.77E-07
521,-4653.91221,-4421.1641,-1014.46698,-975.40589,0.000451738,2.41E-07,2.66E-07,1.68E-07
522,-4675.81027,-7227.34849,-969.78561,-929.01704,0.000867062,7.18E-07,7.91E-07,5.09E-07
523,-5445.86652,-21151.82664,-2674.39424,-1087.19536,0.000644875,1.70E-07,1.90E-07,1.23E-07
524,-6224.20707,-3375.71125,-2071.08166,-1928.01596,0.000537125,3.95E-07,4.54E-07,1.62E-07
525,-3352.14267,-3728.54697,-1526.11596,-1512.11218,1.23E-06,4.13E-07,5.12E-07,2.53E-07
526,-968.31178,-3812.82469,-1647.93202,-1691.45255,1.10E-09,4.29E-07,5.76E-07,2.74E-07
527,-6326.1481,-4229.03152,-1323.40727,-1273.03521,0.015193,5.17E-07,5.60E-07,2.83E-07
528,-7562.19559,-7686.85562,-1487.64167,-1456.61198,0.0376084,9.45E-07,1.13E-06,5.50E-07
529,-5050.38818,-18395.02703,-2566.02676,-1332.2087,3.78E-05,2.35E-07,2.93E-07,1.71E-07
530,-4644.22488,-19357.78057,-2619.42006,-1370.19545,1.28E-05,2.33E-07,2.97E-07,1.71E-07
531,-4343.82433,-10247.52781,-1631.75813,-1365.78861,5.25E-06,2.31E-07,3.01E-07,1.70E-07
532,-4640.35556,-16236.67255,-2156.125,-1355.03665,1.35E-05,2.38E-07,3.04E-07,1.73E-07
533,-4232.05953,-17321.0378,-2354.48876,-1398.55112,3.66E-06,2.26E-07,2.97E-07,1.69E-07
534,-5089.64738,-17867.83837,-2486.76265,-1317.21629,4.89E-05,2.40E-07,2.98E-07,1.73E-07
535,-4730.15885,-18123.69566,-2542.10518,-1345.32437,1.91E-05,2.44E-07,3.08E-07,1.78E-07
536,-4888.60358,-14558.70294,-1470.56188,-1231.43317,3.86E-05,2.08E-07,2.55E-07,1.52E-07
537,1334.34506,-8151.3243,-1938.71029,-1958.10484,1.13E-12,2.64E-07,4.05E-07,1.74E-07
538,-4352.13494,-2310.85179,-940.55943,-918.33171,0.000286078,3.33E-07,3.65E-07,2.38E-07
539,-7862.06414,-2933.67815,-1675.26419,-1638.99077,0.0061274,3.03E-07,3.81E-07,1.75E-07
540,-4088.86274,-3283.19325,-1019.50724,-966.54932,4.59E-05,1.45E-07,1.64E-07,1.06E-07
541,-9799.01066,-1781.78642,-2015.95896,-2021.75528,0.789422,3.87E-07,4.93E-07,1.79E-07
542,-7826.72137,-5649.66839,-1689.50539,-1613.1986,0.0985169,4.96E-07,5.29E-07,2.20E-07
543,-7780.86773,-2260.36847,-1683.05171,-1639.37237,0.0696334,4.89E-07,5.29E-07,2.16E-07
544,-7987.2007,-5733.94267,-1715.5156,-1621.14632,0.14183,4.85E-07,5.17E-07,2.13E-07
545,-7604.92037,-5748.80719,-1472.6197,-1398.66682,0.0423021,6.32E-07,7.16E-07,3.54E-07
546,-7586.3909,-5797.13892,-1375.59716,-1321.47904,0.0384747,6.60E-07,7.42E-07,3.85E-07
547,-6697.11918,-4546.71291,-1207.62804,-1204.17451,0.0113038,6.88E-07,7.69E-07,4.18E-07
548,-5976.40261,-3658.08854,-1518.2474,-1457.03979,0.00134643,8.34E-07,1.01E-06,4.72E-07
549,-5768.43587,-8800.39539,-1703.29587,-1309.97313,0.00033726,1.39E-07,1.66E-07,9.68E-08
550,-6127.81436,-5384.30935,-1270.87314,-1172.66392,0.00494722,2.44E-07,2.67E-07,1.53E-07
551,-11336.66275,-2910.10502,-2635.36474,-2571.6458,164.468,2.80E-06,3.26E-06,7.11E-07
552,-11306.36725,-2925.39053,-2580.02256,-2513.85659,180.822,2.72E-06,3.12E-06,7.04E-07
553,-6666.09607,-2199.06981,-1423.95348,-1452.72306,0.0205547,7.78E-07,9.51E-07,4.67E-07
554,-83.13998,-4137.03063,-1919.99376,-1962.277,1.77E-11,2.31E-07,4.18E-07,1.88E-07
555,-4501.57332,-10462.90251,-1045.84996,-955.16267,0.000330793,3.40E-07,3.80E-07,2.40E-07
556,-2056.9134,-1035.20652,-447.32255,-435.75925,1.26E-05,4.90E-07,5.15E-07,4.21E-07
557,-7798.02088,-2327.32535,-1820.1393,-1822.45727,0.0489767,1.64E-07,1.89E-07,7.50E-08
558,-4032.77849,-840.86397,-816.60791,-830.6694,0.000268849,4.21E-07,4.52E-07,3.04E-07
559,-4504.96969,-2029.09658,-864.24034,-858.01887,0.000404266,3.65E-07,3.93E-07,2.57E-07
560,-7220.85364,-3246.38084,-1454.73916,-1447.78713,0.0322264,7.93E-07,9.29E-07,4.41E-07
561,-6693.53039,-4887.65189,-1410.28838,-1340.92992,0.00969183,3.34E-07,3.62E-07,1.82E-07
562,-5422.53933,-1999.32223,-1347.96696,-1367.34407,0.00253988,6.65E-07,7.72E-07,3.82E-07
563,-4656.64193,-2655.23618,-1984.43429,-1992.95231,2.23E-06,3.26E-07,4.45E-07,1.67E-07
564,-4317.85398,-2726.69339,-2002.01923,-2008.19421,7.49E-07,3.16E-07,4.40E-07,1.63E-07
565,-5773.62217,-1891.73183,-1331.48863,-1319.56378,0.00519763,6.85E-07,7.58E-07,3.74E-07
566,-6506.49832,-1155.99895,-1395.48952,-1421.46396,0.0887153,1.31E-06,1.45E-06,6.54E-07
567,-6485.64804,-1743.64123,-1416.44972,-1470.12981,0.0304436,9.06E-07,1.11E-06,5.27E-07
568,-3657.79334,-774.72554,-650.46175,-669.97137,0.000127515,8.56E-07,9.19E-07,6.49E-07
569,-7647.07281,-5255.38789,-1648.82101,-1608.36302,0.0510002,8.93E-07,1.08E-06,4.78E-07
570,-5663.22922,-1625.40322,-1233.76423,-1251.37826,0.0122264,8.79E-07,9.68E-07,4.88E-07
571,-9891.42059,-4185.56826,-1911.06747,-1823.9973,5.43442,3.35E-07,3.49E-07,1.31E-07
572,-9875.69263,-4085.44864,-1908.80988,-1821.76217,5.11141,3.34E-07,3.52E-07,1.28E-07
573,-9844.21881,-4102.19258,-1903.75444,-1816.73999,4.71922,3.30E-07,3.46E-07,1.27E-07
574,-9707.10603,-4096.70572,-1862.6777,-1775.47669,4.15694,3.28E-07,3.43E-07,1.30E-07
575,-9543.5623,-4043.62971,-1825.72984,-1741.76373,3.06154,3.13E-07,3.29E-07,1.28E-07
576,-9542.6418,-2704.88508,-1810.14679,-1745.31384,2.95224,3.13E-07,3.27E-07,1.26E-07
577,-6479.34164,-3278.47312,-1369.4806,-1361.67534,0.0272681,9.62E-07,1.13E-06,5.57E-07
578,-7619.90482,-5009.80913,-1527.88585,-1472.24477,0.146847,3.12E-07,3.33E-07,1.55E-07
579,-8163.93937,-5294.65,-1597.86629,-1544.45398,0.384596,3.13E-07,3.35E-07,1.50E-07
580,-5926.15137,-17135.57597,-2519.15317,-1350.09318,0.00174813,1.74E-07,1.92E-07,1.00E-07
581,-5943.54857,-16961.14502,-2565.13005,-1358.28416,0.00174979,1.74E-07,1.91E-07,9.98E-08
582,-5573.15435,-14462.01028,-1162.22549,-1003.95898,0.000719575,5.20E-07,5.86E-07,3.53E-07
583,-5584.40027,-14570.08059,-1138.12572,-975.7679,0.00097184,5.17E-07,5.84E-07,3.61E-07
584,-5467.69237,-14390.68406,-1138.63005,-987.70052,0.000751634,5.19E-07,5.85E-07,3.57E-07
585,-8218.05163,-3621.31271,-1607.39575,-1569.77431,0.68708,6.33E-07,6.68E-07,2.76E-07
586,-4819.37544,-2102.26005,-979.16604,-984.4668,0.000641551,2.46E-07,2.79E-07,1.85E-07
587,-6974.2002,-6732.78443,-1542.45925,-1437.19122,0.00380256,2.29E-07,2.70E-07,1.41E-07
588,-8107.8131,-4202.69285,-1862.67295,-1794.46474,0.051729,4.73E-07,5.65E-07,2.32E-07
589,-8159.97278,-1100.77114,-1457.23075,-1435.36367,0.150937,4.97E-07,5.44E-07,2.54E-07
590,-6164.69065,-16792.02782,-2008.35481,-1344.02943,0.00144184,2.03E-07,2.52E-07,1.40E-07
591,-6188.60953,-16702.00117,-2003.92373,-1346.10076,0.00155327,2.01E-07,2.50E-07,1.39E-07
592,-4409.29645,-16345.74816,-1790.86923,-1021.18363,0.00013306,1.42E-07,1.60E-07,1.06E-07
593,-4436.87635,-15833.10696,-1800.2168,-1023.71168,0.000137325,1.41E-07,1.59E-07,1.05E-07
594,-6850.80853,-1851.80586,-1339.56404,-1339.47071,0.015855,6.68E-07,7.51E-07,3.73E-07
595,-8475.06495,-2091.12327,-1576.75284,-1555.09758,0.482679,7.83E-07,8.71E-07,3.84E-07
596,-5649.43593,-3495.2638,-1698.72212,-1684.94671,0.000172283,8.28E-07,1.05E-06,4.51E-07
597,-7252.73539,-3070.04156,-2152.92582,-2035.03408,0.00259861,4.94E-07,6.02E-07,2.12E-07
598,-4619.49388,-2620.51766,-1720.14094,-1665.92221,6.41E-06,2.34E-07,3.08E-07,1.49E-07
599,-4545.84969,-2256.84245,-1489.00824,-1443.88412,6.64E-06,1.47E-07,1.90E-07,1.03E-07
600,-5948.57366,-4973.63711,-1982.44123,-1889.97317,0.000414767,9.83E-07,1.19E-06,4.38E-07
601,-7714.26776,-6393.52416,-1675.18527,-1582.34785,0.0953573,7.33E-07,8.19E-07,3.50E-07
602,-6509.61504,-1450.11494,-971.63533,-1000.44448,0.00684363,7.98E-07,8.64E-07,5.20E-07
603,-8457.15871,-3004.15206,-1948.69653,-1957.92445,0.658226,9.68E-07,1.12E-06,4.07E-07
604,-2909.59313,-926.99983,-570.81129,-587.84745,5.59E-05,7.57E-07,8.07E-07,6.00E-07
605,-5243.38449,-1610.32541,-1359.75635,-1383.44478,0.000732808,5.09E-07,6.43E-07,3.35E-07
606,-5248.82875,-1503.22876,-1359.09709,-1389.7469,0.000753635,5.06E-07,6.43E-07,3.35E-07
607,-6764.28406,-6828.2341,-1370.47592,-1256.4817,0.0221965,2.92E-07,3.21E-07,1.77E-07
608,-5511.15136,-1247.50157,-1156.65363,-1127.49607,0.00121895,6.41E-07,7.09E-07,4.09E-07
609,-5492.67208,-1118.48318,-975.18457,-968.26495,0.00297764,6.39E-07,6.91E-07,4.23E-07
610,-8242.87294,-1429.71038,-1443.02279,-1424.49265,0.0467634,4.90E-07,5.57E-07,2.75E-07
611,-4053.49341,-907.04729,-758.91383,-781.44393,0.000353525,8.66E-07,9.36E-07,6.24E-07
612,-6588.70629,-2392.13827,-1448.41466,-1467.85781,0.0153799,9.90E-07,1.15E-06,5.38E-07
613,-8992.12571,-2513.08945,-1775.93925,-1765.06692,1.09647,5.64E-07,6.31E-07,2.47E-07
614,-5714.61247,-1873.04658,-1097.32129,-1076.06954,0.00922198,1.13E-06,1.19E-06,6.50E-07
615,-7403.12129,-1491.26421,-1951.52634,-1995.99319,0.00643012,1.07E-06,1.51E-06,5.64E-07
616,-1058.31496,-9728.55689,-1636.75466,-1107.88851,3.78E-09,1.25E-07,1.90E-07,1.40E-07
617,-7066.5453,-6719.42671,-1755.92279,-1607.01868,0.010483,4.31E-07,5.29E-07,2.46E-07
618,-8403.12208,-1529.40773,-1193.61327,-1208.66971,0.255496,9.40E-07,1.04E-06,5.55E-07
619,-5282.77582,-1155.35503,-1053.63987,-1047.84208,0.000968884,1.52E-07,1.65E-07,9.82E-08
620,-7870.01128,-6771.97782,-1498.91601,-1552.67352,0.253209,9.26E-07,1.08E-06,4.68E-07
621,-5942.77952,-5922.938,-1291.88004,-1244.45034,0.0112185,5.36E-07,5.80E-07,3.04E-07
622,-5355.24014,-5853.3248,-1117.86186,-1064.74732,0.00417017,6.75E-07,7.21E-07,4.13E-07
623,-6094.82721,-3877.29224,-1227.8055,-1210.57317,0.0111196,8.29E-07,9.10E-07,4.76E-07
624,-7596.39926,-4113.42797,-1550.35896,-1527.86621,0.142698,5.29E-07,5.96E-07,2.58E-07
625,-5352.94855,-6833.24993,-1046.55422,-1022.82318,0.00182043,5.48E-07,5.98E-07,3.52E-07
626,-8218.89012,-2933.60481,-2012.48484,-1959.4217,0.0269956,5.30E-07,6.66E-07,2.53E-07
627,-8311.06301,-3000.87597,-2017.89672,-1961.63682,0.0367852,5.40E-07,6.77E-07,2.55E-07
628,-8593.99192,-1615.59747,-1857.41548,-1826.55646,0.103591,3.20E-07,3.89E-07,1.51E-07
629,-4795.97096,-18357.69417,-1407.01455,-1251.10539,0.000690355,6.70E-07,7.87E-07,4.39E-07
630,-8173.16514,-5405.75888,-1601.28111,-1543.41303,0.387621,3.10E-07,3.32E-07,1.47E-07
631,-7475.48057,-4806.55615,-1500.37498,-1448.34173,0.110227,3.05E-07,3.27E-07,1.55E-07
632,-4555.10333,-4022.76434,-959.3696,-951.46073,0.000501629,3.38E-07,3.61E-07,2.23E-07
633,-4495.92004,-3158.25524,-945.39423,-940.7105,0.000423849,2.92E-07,3.12E-07,1.92E-07
634,-4540.4167,-4052.08168,-958.53745,-946.56824,0.000482095,3.37E-07,3.61E-07,2.22E-07
635,-4512.88461,-3197.11885,-953.68686,-949.20567,0.000428633,2.95E-07,3.16E-07,1.93E-07
636,-4541.63793,-3520.36085,-954.59413,-948.50388,0.000524697,3.47E-07,3.70E-07,2.28E-07
637,-4496.3698,-3102.509,-941.96271,-942.92464,0.000406444,2.99E-07,3.19E-07,1.96E-07
638,-6525.01804,-8302.61901,-1566.07944,-1460.44229,0.00160204,2.96E-07,3.64E-07,1.94E-07
639,-6063.25856,-3544.00412,-1318.16763,-1305.03441,0.00772591,6.81E-07,8.05E-07,4.29E-07
640,-8412.3519,-1685.49562,-1869.36423,-1816.09328,0.0929503,4.98E-07,5.85E-07,2.28E-07
641,749.64596,-5730.86393,-1868.98416,-1895.56556,2.93E-12,1.02E-07,1.57E-07,7.26E-08
642,-5467.30512,-2631.81414,-1122.4618,-1136.14211,0.00269977,7.92E-07,8.78E-07,4.86E-07
643,-5934.34513,-2253.05089,-1147.28168,-1145.06608,0.0108746,1.12E-06,1.23E-06,6.64E-07
644,-4782.57976,-8080.13371,-1103.12784,-1033.63903,0.000698217,6.12E-07,6.93E-07,4.15E-07
645,-4682.62475,-17291.94091,-1309.09877,-1195.84836,2.50E-05,1.22E-07,1.53E-07,9.43E-08
646,-7320.59271,-16789.15105,-1573.8482,-1411.23418,0.0475085,4.93E-07,5.57E-07,2.84E-07
