Order,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1
191,9.466371937,22.08820119,3.155457312,1.577728656,14.19955791,0,0,0,0,0,3.155457312,0,0,0,0,0,0,0
192,12.34482245,19.75171592,4.937928979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4.557916283,18.23166513,0,0,13.67374885,0,0,0,0,0,0,0,0,0,0,0,0,0
194,7.608698672,11.41304801,0,15.21739734,7.608698672,0,0,7.608698672,0,0,0,0,0,0,0,0,0,0
195,7.662277352,11.49341603,0,15.3245547,7.662277352,0,0,7.662277352,0,0,0,0,0,0,0,0,0,0
196,15.94436179,20.49989373,0,0,0,0,0,2.27776597,0.569441493,0,0,0,0,2.27776597,0,0,0,0
197,9.033904111,20.32628425,0,0,4.516952056,0,0,0,0,0,0,0,0,0,0,0,0,0
198,14.4006357,26.74403773,2.057233672,2.057233672,4.114467344,0,0,1.028616836,0,0,0,0,0,0,1.028616836,0,0,0
199,9.763672868,19.52734574,6.509115245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,14.72772553,23.56436085,0,0,14.72772553,0,0,0,0,0,0,0,0,0,0,0,0,0
201,17.64388801,5.881296005,0,9.802160008,1.960432002,0,0,0,11.76259201,0,0,0,0,0,0,0,0,0
202,17.74961037,5.916536792,0,9.860894653,1.972178931,0,0,0,11.83307358,0,0,0,0,0,0,0,0,0
203,17.76497394,5.92165798,0,9.869429966,1.973885993,0,0,0,11.84331596,0,0,0,0,0,0,0,0,0
204,17.87106978,5.957023259,0,9.928372099,1.98567442,0,0,0,11.91404652,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80539732,16.80539732,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,40.55735312,20.97794127,3.496323545,0,0,0,0,0,8.391176507,0,0,0,2.797058836,0,0,0,0,0
209,14.90305595,22.35458392,2.483842658,0,4.967685316,0,0,0,0,0,0,0,0,0,0,0,0,0
210,30.48068154,30.48068154,20.32045436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,15.10420865,11.32815649,3.776052162,12.58684054,2.517368108,0,0,0,7.552104325,0,0,0,3.776052162,0,0,0,0,0
212,38.41041526,0,0,0,8.863941984,0,5.909294656,0,17.72788397,0,0,0,5.909294656,0,0,0,0,0
213,27.91405804,0,0,0,0,0,4.652343006,0,13.95702902,0,0,0,4.652343006,0,0,0,0,0
214,17.05573446,5.685244819,8.527867228,0,0,0,0,0,5.685244819,0,0,0,0,0,0,0,0,0
215,14.11668618,5.646674472,8.470011709,0,0,0,0,2.823337236,2.823337236,0,0,0,0,0,0,0,0,0
216,16.05052245,32.10104489,4.585863556,4.585863556,4.585863556,0,0,0,0,0,0,0,0,0,0,0,0,0
217,23.71814435,28.46177322,2.371814435,1.185907218,5.929536088,0,0,7.115443305,0,0,0,0,0,0,0,0,0,0
218,20.17106161,26.89474881,3.361843601,0,0,0,0,0,0,0,0,0,3.361843601,3.361843601,3.361843601,0,0,0
219,21.48141603,24.55018975,3.068773719,0,0,0,0,3.068773719,0,0,0,0,3.068773719,3.068773719,3.068773719,0,0,0
220,4.539093107,18.15637243,0,0,13.61727932,0,0,0,0,0,0,0,0,0,0,0,0,0
221,15.0813758,24.88427007,1.50813758,0,4.52441274,0,0,0,3.393309555,0,0,0,0,0,0,6.786619109,0,0
222,18.42442591,21.49516356,0,0,9.212212955,0,0,0,3.838422064,0,0,0,0,0,0,0,0,0
223,21.57445989,26.96807487,10.78722995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,21.59145191,26.98931489,10.79572596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,14.47762969,21.71644454,5.791051877,2.895525939,2.895525939,0,0,0,1.447762969,0,0,0,0,0,0,0,0,0
226,22.25802544,39.27886842,2.618591228,7.855773683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,5.102157067,15.3064712,0,0,10.20431413,0,0,0,0,0,0,0,0,0,0,0,0,0
228,5.200161572,15.60048472,0,0,10.40032314,0,0,0,0,0,0,0,0,0,0,0,0,0
229,14.60438289,25.11953857,0,0,8.178454417,0,1.168350631,0,0,0,0,0,0,0,0,0,0,0
230,14.94705139,25.70892839,0,8.370348777,0,0,1.195764111,0,0,0,0,0,0,0,0,0,0,0
231,14.8745296,25.58419091,0,8.329736576,0,0,1.189962368,0,0,0,0,0,0,0,0,0,0,0
232,14.27294645,24.54946789,0,7.992850011,0,0,1.141835716,0,0,0,0,0,0,0,0,0,0,0
233,14.5595171,25.04236941,0,8.153329574,0,0,1.164761368,0,0,0,0,0,0,0,0,0,0,0
234,14.43022068,24.81997957,0,8.080923581,0,0,1.154417654,0,0,0,0,0,0,0,0,0,0,0
235,14.78197976,25.42500518,0,8.277908664,0,0,1.182558381,0,0,0,0,0,0,0,0,0,0,0
236,14.8351404,25.51644149,0,8.307678625,0,0,1.186811232,0,0,0,0,0,0,0,0,0,0,0
237,14.89604545,25.62119818,0,8.341785453,0,0,1.191683636,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,20.99018023,20.99018023,2.998597176,0,14.99298588,0,0,0,5.997194352,0,0,0,0,2.998597176,0,0,0,0
240,21.0003674,21.0003674,3.000052485,0,15.00026243,0,0,0,6.000104971,0,0,0,0,3.000052485,0,0,0,0
241,22.91423982,20.04995984,2.864279977,0,14.32139989,0,0,2.864279977,5.728559955,0,0,0,0,0,0,0,0,0
242,23.21326947,20.31161079,2.901658684,0,14.50829342,0,0,2.901658684,5.803317367,0,0,0,0,0,0,0,0,0
243,16.77989009,27.10597631,0,0,7.744564659,0,0,0,1.290760776,0,0,0,0,0,0,0,0,0
