Order,I2,N2,O2,H2O,Selectivity,PLD,LCD,Void,Surface_Area,Pore_Volume,Density,Metal_Ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken_EN,Polarizability,Electron_Affinity,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1,I2_Heat,H2O_Heat,N2_Heat,O2_Heat,I2_Henry,N2_Henry,O2_Henry,H2O_Henry
102,44.75948863,1.80182825,0.61820752,0.235167839,56190.90563,5.88284,10.21454,0.260518,829.127218,0.34101272,0.763953918,0.027522936,27,58.9332,1.52,4.3,7.5,64,13.27021552,22.92128135,1.206383229,0,5.227660659,0,0,0,0,0,0.402127743,0,0,0,0,0,0,0,5731.09669,1353.60721,1061.083,1085.89443,0.00569252,9.44E-07,1.05E-06,5.91E-07
103,150.2298218,2.211108287,0.73041625,0.908349495,130073.3657,5.52182,7.98704,0.245002,272.231091,0.3357944,0.729619074,0.022058824,28,58.6934,1.49,4.4,6.8,112,13.42668386,23.01717233,1.918097694,0,4.155878337,0,0,0,0,0,0.319682949,0,0,0,0,0,0,0,5922.94166,2543.16493,1135.58481,1126.33202,0.0159247,1.18E-06,1.26E-06,6.80E-07
104,349.3021535,0.198954869,0.069145247,0.083535194,3311216.135,3.93445,5.86916,0.0636574,0,0.05016183,1.269040498,0.057692308,29,63.546,1.45,4.48,6.7,119,28.46266985,14.90901754,6.776826155,0,0,0,0,0,8.132191386,0,0,0,0,4.066095693,4.066095693,0,0,0,7678.52633,2623.31598,1522.2632,1464.28319,0.0947886,3.92E-07,4.28E-07,1.99E-07
105,135.6882182,0.54987804,0.182895585,0.336979695,422802.2035,4.10863,4.93056,0.0483115,0,0.03701695,1.305118441,0.057692308,29,63.546,1.45,4.48,6.7,119,29.27184388,15.3328706,6.969486638,0,0,0,0,0,8.363383965,0,0,0,0,4.181691983,4.181691983,0,0,0,7336.53387,3209.19486,1643.30174,1576.98313,0.0221093,3.78E-07,4.23E-07,1.88E-07
106,21.37189216,0.713618274,0.234896341,0.678430687,43787.36056,3.8422,5.40312,0.039233,0,0.02953899,1.328176911,0.057692308,29,63.546,1.45,4.48,6.7,119,29.78901068,15.6037675,7.09262159,0,0,0,0,0,8.511145909,0,0,0,0,4.255572954,4.255572954,0,0,0,6708.96126,3644.20597,1714.39238,1644.47588,0.00256427,3.60E-07,4.15E-07,1.81E-07
107,2.003239939,0.679939509,0.233068435,0.705258472,4126.308497,3.61894,4.63056,0.033358,0,0.02470626,1.350184281,0.057692308,29,63.546,1.45,4.48,6.7,119,30.2826029,15.8623158,7.210143547,0,0,0,0,0,8.652172256,0,0,0,0,4.326086128,4.326086128,0,0,0,6026.77203,3677.15746,1764.58813,1699.03712,0.000282961,3.31E-07,3.95E-07,1.73E-07
108,104.7043388,0.512577677,0.187855843,0.0495662,465352.7908,6.70427,7.12611,0.109859,185.924391,0.07617315,1.442227373,0.040816327,29,63.546,1.45,4.48,6.7,119,23.17291324,32.44207854,0,0,13.90374794,0,0,0,3.089721765,0,0,0,0,0,0,0,0,0,6291.62466,1227.9576,1311.56831,1315.25475,0.0179284,3.61E-07,3.85E-07,1.87E-07
109,3.493584506,1.155865713,0.41726894,88.93167513,128.6703073,4.30913,6.02407,0.172741,1.951126,0.14857767,1.162630979,0.032258065,67,164.93032,2.26,3.1,23.6,33,10.34004961,22.15724917,0,7.385749722,1.477149944,0,0,0,0,0,0,0,0,1.477149944,1.477149944,0,0,0,5671.49016,13629.74091,1513.54582,1364.32387,0.00189998,7.50E-07,8.44E-07,4.11E-07
110,11.3317032,1.123593151,0.415391578,109.8524788,339.0954998,4.17305,5.82723,0.164319,0.967594,0.14114762,1.16416412,0.032258065,66,162.5,2.28,3.1,24.5,34,10.40705753,22.30083756,0,7.433612519,1.486722504,0,0,0,0,0,0,0,0,1.486722504,1.486722504,0,0,0,6005.83563,15084.74323,1563.3612,1366.07404,0.00423705,7.51E-07,8.48E-07,4.12E-07
111,7.227590784,1.152898431,0.419259126,112.71069,210.8100191,4.25173,6.01947,0.182026,4.978841,0.16388726,1.110678156,0.03125,62,150.36,2.38,3.1,28.8,16,11.62151534,21.79034126,0,7.263447085,1.452689417,0,0,1.452689417,0,0,0,0,0,1.452689417,0,0,0,0,5801.76365,14792.66505,1580.35774,1375.73151,0.00266689,7.89E-07,8.92E-07,4.34E-07
112,6.737445685,1.113229587,0.407657539,114.1726778,194.1175579,4.2463,6.01939,0.179679,5.490627,0.1666474,1.07819864,0.03125,59,140.90765,2.47,3.1,28.2,93,11.51828855,21.59679103,0,7.198930342,1.439786068,0,0,1.439786068,0,0,0,0,0,1.439786068,0,0,0,0,5815.91385,13185.78119,1544.88724,1378.37282,0.00262591,7.91E-07,8.95E-07,4.37E-07
113,2.703662162,1.11009426,0.40420005,113.1807963,78.57535274,4.21472,6.47839,0.175517,14.918944,0.1651869,1.062535829,0.03125,58,140.115,1.85,3.1,29.6,635,11.37093205,21.3204976,0,7.106832532,1.421366506,0,0,1.421366506,0,0,0,0,0,1.421366506,0,0,0,0,5568.83178,13970.26445,1553.83803,1363.99807,0.00148335,7.76E-07,8.84E-07,4.36E-07
114,2.718364114,1.099636831,0.399367059,112.6317529,79.39326761,4.17826,6.44971,0.170327,15.608876,0.16051715,1.061114058,0.03125,57,138.9055,1.95,3.1,31.1,45,11.38632774,21.34936451,0,7.116454835,1.423290967,0,0,1.423290967,0,0,0,0,0,1.423290967,0,0,0,0,5625.86661,13230.03373,1540.62818,1373.75912,0.00163089,7.82E-07,8.93E-07,4.40E-07
115,0.690664262,2.296025101,0.766406396,0.866166764,586.014159,5.82599,6.17717,0.196359,5.730349,0.26227931,0.748663707,0.037037037,28,58.6934,1.49,4.4,6.8,112,8.228863762,19.20068211,0,2.742954587,5.485909175,0,0,0,0,0,0,0,0,0,0,0,0,0,3920.34445,2199.34721,1211.19743,1172.56241,8.76E-05,1.13E-06,1.27E-06,6.81E-07
116,45.03346121,0.655104172,0.245792432,193.4053906,772.5511074,4.52192,6.09324,0.200586,183.899563,0.20212956,0.992363505,0.046153846,25,54.93805,1.61,3.72,9.4,-50,12.05863089,21.10260406,1.507328861,4.521986584,6.029315445,0,0,0,1.507328861,0,0,0,0,0,0,0,0,0,5680.80517,13554.69719,1453.46562,1201.90433,0.004011,4.95E-07,5.59E-07,3.11E-07
117,0,1.463739676,0.587870482,100.2817025,0,3.76976,4.04451,0.0465476,0,0.03567446,1.304787826,0.044444444,25,54.93805,1.61,3.72,9.4,-50,21.31991422,9.137106095,0,6.091404063,9.137106095,0,0,15.22851016,3.045702032,0,0,0,0,0,0,0,0,0,-1813.41638,7580.24189,1974.86114,1930.89106,8.13E-13,6.50E-07,9.51E-07,3.81E-07
118,3.320646057,0.778830964,0.271368223,0.267756247,8398.478357,4.58971,5.61731,0.137696,85.959786,0.11675187,1.179390134,0.04,27,58.9332,1.52,4.3,7.5,64,24.02752123,16.01834748,13.3486229,0,5.339449162,0,0,0,5.339449162,0,0,0,0,0,0,0,0,0,5167.80939,2115.52403,1360.45235,1353.82949,0.00043498,3.92E-07,4.58E-07,2.42E-07
119,0.230293318,0.417520438,0.154873449,1.753425592,330.0532993,3.94037,5.27949,0.480723,928.283664,0.27353919,1.757419082,0.125,83,208.98037,1.43,4.69,7.4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209.4856,3667.9241,1028.11481,1026.25119,2.95E-05,2.03E-07,2.65E-07,1.73E-07
120,8.631179108,1.717664287,0.567608264,0.215704799,11503.74154,5.25015,14.75972,0.318937,1064.821505,0.43129765,0.739482355,0.048780488,28,58.6934,1.49,4.4,6.8,112,13.21202729,17.61603638,5.872012128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750.21276,1063.60963,943.62532,951.947,0.00110257,8.70E-07,9.48E-07,5.73E-07
