Order,I2,N2,O2,H2O,Selectivity,PLD,LCD,Void,Surface_Area,Pore_Volume,Density,Metal_Ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken_EN,Polarizability,Electron_Affinity,H_,C_R,N_R,O_R,O_2,O_3_f,P_3+q,C_2,C_3,Cl,O_2_z,S_R,N_3,N_2,C_1,F_,Br,N_1,I2_Heat,H2O_Heat,N2_Heat,O2_Heat,I2_Henry,N2_Henry,O2_Henry,H2O_Henry
455,250.8722477,0.691818543,0.250360912,30.68317298,26442.10297,4.73325,5.5146,0.0972812,0,0.07876384,1.235099731,0.058823529,25,54.93805,1.61,3.72,9.4,-50,13.58731027,27.17462054,0,0,13.58731027,0,0,0,0,0,0,0,0,0,0,0,0,0,7286.15656,6835.94165,1543.69155,1462.67557,0.104698,6.66E-07,7.37E-07,3.39E-07
456,238.5258424,0.688195155,0.250644952,29.21692071,26365.97851,4.73732,5.54343,0.094567,0,0.07594644,1.245180234,0.058823529,25,54.93805,1.61,3.72,9.4,-50,13.69820571,27.39641142,0,0,13.69820571,0,0,0,0,0,0,0,0,0,0,0,0,0,7346.38482,6799.66824,1554.1873,1471.90332,0.113034,6.61E-07,7.30E-07,3.33E-07
457,2.737267196,0.55469301,0.187618467,0.200678307,9675.846057,4.60057,8.77108,0.213214,291.786528,0.15236274,1.399384146,0.085365854,47,107.8682,1.65,4.44,7.9,126,11.34680282,17.02020423,14.18350352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4597.77597,2318.21017,976.2428,982.91959,0.000349573,2.77E-07,3.13E-07,1.98E-07
458,2.779333007,0.543709923,0.182234095,0.184430033,10176.52397,4.51126,8.71983,0.208048,279.414663,0.14686029,1.416638927,0.085365854,47,107.8682,1.65,4.44,7.9,126,11.48671193,17.23006789,14.35838991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598.4826,2262.5711,979.00353,984.28297,0.000361634,2.70E-07,3.04E-07,1.92E-07
459,827.7874879,0.136701921,0.045339073,0.787522705,2845910.617,3.42774,5.07777,0.052755,0,0.04089955,1.289867575,0.034482759,30,65.39,1.42,4.45,6.4,-60,32.19476248,13.41448437,8.04869062,5.365793746,2.682896873,0,0,0,10.73158749,0,0,0,2.682896873,0,0,0,0,0,9172.34618,4823.67672,2078.13287,1919.41676,0.616049,7.25E-07,8.32E-07,3.12E-07
460,216.7114899,1.6768554,0.567679571,1.164789024,211881.1924,3.92353,4.70893,0.0439925,0,0.03325524,1.322874173,0.034482759,30,65.39,1.42,4.45,6.4,-60,33.01859866,13.75774944,8.254649666,5.503099777,2.751549889,0,0,0,11.00619955,0,0,0,2.751549889,0,0,0,0,0,7832.45727,3760.51275,2164.38246,2065.85114,0.0187479,1.00E-06,1.15E-06,3.91E-07
461,39.04443955,1.406615114,0.473768525,0.220938691,61936.30077,6.7462,13.19824,0.414984,1256.566598,0.47220706,0.878817869,0.076923077,29,63.546,1.45,4.48,6.7,119,5.251416998,15.75425099,0,0,10.502834,0,0,0,0,0,0,0,0,0,0,0,0,0,7546.94942,1467.92641,1075.62396,1136.62243,0.00597274,7.42E-07,8.46E-07,4.82E-07
462,0.033023691,0.305400139,0.116458587,0.112276383,206.0882519,3.34943,4.70475,0.024218,0,0.0138399,1.749868463,0.111111111,26,55.847,1.56,4.06,8.4,15,14.4495463,14.4495463,0,0,28.89909261,0,0,0,0,0,0,0,0,0,0,0,0,0,4403.8772,2309.83653,1577.92605,1530.44422,3.99E-06,1.50E-07,1.96E-07,1.01E-07
463,0.005363562,0.300218514,0.116391369,0.1276411,32.84980745,3.40433,4.75356,0.0188026,0,0.01012753,1.856582601,0.111111111,27,58.9332,1.52,4.3,7.5,64,15.01289298,15.01289298,0,0,30.02578595,0,0,0,0,0,0,0,0,0,0,0,0,0,3769.75082,2501.74982,1662.70134,1607.08889,6.83E-07,1.46E-07,1.96E-07,9.95E-08
464,0,0.037727595,0.020812036,153.5483447,0,3.527,4.38314,0.0961014,0,0.04524167,2.124178655,0.125,67,164.93032,2.26,3.1,23.6,33,0,9.408507652,0,18.8170153,0,0,0,0,0,0,0,0,0,0,0,4.704253826,0,0,1425.12587,15791.15217,1701.03432,1086.27835,4.31E-09,7.14E-08,1.10E-07,8.37E-08
465,7.650870067,0.327453571,0.106627301,0.424745138,29695.07204,4.73441,5.69673,0.148111,0.516771,0.07285159,2.033051159,0.043478261,19,39.0983,2.43,2.42,43.4,48,0,14.64715329,0,29.29430658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5936.63974,4271.10943,1162.73597,1112.79969,0.00101605,1.61E-07,1.80E-07,1.04E-07
466,7.442692961,0.327274057,0.107903183,0.48818818,26867.99398,4.7333,5.69894,0.147593,0.549002,0.0725968,2.033051159,0.043478261,19,39.0983,2.43,2.42,43.4,48,0,14.64715329,0,29.29430658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5940.46757,4189.58571,1162.42932,1113.28719,0.00101925,1.61E-07,1.80E-07,1.04E-07
467,0.108932232,0.303975285,0.118875589,31.95962311,11.21308522,4.02811,4.82607,0.153789,0,0.08198666,1.875780849,0.071428571,48,112.411,1.61,4.33,7.2,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032.57069,7127.59891,1507.14389,1354.82249,3.49E-05,2.01E-07,2.54E-07,1.37E-07
468,0,0.069935201,0.032264715,151.9895701,0,3.37091,4.18633,0.0437349,0,0.02745693,1.592854713,0.047619048,38,87.62,2.19,2,27.6,5,10.46701454,10.46701454,0,5.23350727,18.31727545,0,0,0,5.23350727,0,0,0,0,0,0,0,0,0,1457.54623,9962.59617,1717.43974,1432.94363,1.68E-09,7.88E-08,1.18E-07,7.45E-08
469,0,1.234696764,0.471830177,10.00787137,0,3.84435,4.24273,0.0243905,0,0.01550007,1.573573584,0.035714286,30,65.39,1.42,4.45,6.4,-60,20.62443626,20.62443626,10.31221813,0,0,0,0,0,0,0,0,0,0,0,0,15.46832719,0,0,2355.98846,4774.16889,2406.93211,2258.97357,2.29E-08,5.86E-07,9.18E-07,3.34E-07
470,1.435765825,0.204376632,0.091847947,69.59634001,68.47489587,3.48432,5.43936,0.102646,0,0.05962851,1.721424956,0.046511628,64,157.25,2.33,3.1,23.5,13,8.620963969,22.16819306,0,13.54722909,1.231566281,0,0,0,0,0,0,3.694698844,0,0,0,0,0,0,7649.52494,11819.73365,1669.60897,1568.7897,0.0876317,4.32E-07,4.94E-07,2.15E-07
471,86.46311367,0.500464543,0.180542528,49.68694634,5722.098266,5.04311,5.71784,0.130072,5.214121,0.08560532,1.519438355,0.046511628,57,138.9055,1.95,3.1,31.1,45,7.956234587,20.45888894,0,11.36604941,2.273209882,0,0,0,0,0,0,3.409814823,0,0,0,0,0,0,6731.60548,10256.28546,1497.27862,1393.77371,0.0308726,4.89E-07,5.41E-07,2.53E-07
472,508.0242897,0.631617318,0.265070698,0.335826539,1373950.752,4.37067,6.40835,0.0703982,3.421142,0.06343164,1.10982788,0.024390244,30,65.39,1.42,4.45,6.4,-60,20.66175272,30.99262909,0.794682797,0,6.357462377,0,0,2.384048391,0,0,0,0,0.794682797,0,1.589365594,0,0,0,8041.71441,2657.7365,1630.25982,1639.95774,0.0956659,7.24E-07,8.56E-07,3.67E-07
473,29.48947518,1.644521668,0.553435481,0.4785825,36725.87127,9.18662,11.78414,0.394531,1690.001171,0.59024851,0.668415075,0.024390244,30,65.39,1.42,4.45,6.4,-60,9.672074099,17.73213585,0.806006175,0,3.2240247,0,0,0,0,0,0,0,0,0,0,0,0.806006175,0,6429.61231,1884.55246,904.04407,917.51462,0.00409814,8.53E-07,9.37E-07,5.92E-07
474,307.603293,0.942864333,0.33252412,0.216475766,687290.6371,5.8535,7.93212,0.148165,321.823126,0.14899793,0.994409805,0.023809524,30,65.39,1.42,4.45,6.4,-60,17.91624481,30.31979891,1.378172678,0,5.512690712,0,0,0,0,0,0,0,0,1.378172678,0,0,0,0,8356.18822,2227.24359,1394.10423,1408.80422,0.0795069,6.98E-07,7.86E-07,3.78E-07
475,26.44909292,1.708343781,0.563418277,0.492888909,31889.6107,11.01228,12.56764,0.456032,2227.102194,0.78445061,0.581339343,0.023809524,30,65.39,1.42,4.45,6.4,-60,8.182582238,15.00140077,0.681881853,0,2.727527413,0,0,0,0,0,0,0,0,0.681881853,0,0,0.681881853,0,6388.5908,1895.75651,795.91716,817.07573,0.00378665,8.76E-07,9.57E-07,6.42E-07
476,246.0799796,0.999034016,0.341323968,0.151291592,549905.6962,8.7257,9.49206,0.218925,690.163302,0.23547299,0.929724456,0.022727273,30,65.39,1.42,4.45,6.4,-60,15.80487143,27.96246483,3.647278022,0,4.863037362,0,0,0,0,0,0,0,0,0,0,0,0,0,8367.8446,1542.87786,1333.97182,1382.53067,0.073936,7.51E-07,8.60E-07,4.27E-07
477,28.59414103,1.763801629,0.587346874,0.386617965,34814.4389,12.45297,13.21557,0.500495,2459.375253,0.92083176,0.543524911,0.022727273,30,65.39,1.42,4.45,6.4,-60,7.28149239,13.95619375,1.820373098,0,2.42716413,0,0,0,0,0,0,0,0,0,0,0,0.606791033,0,6496.45655,1507.63111,759.73025,782.91483,0.00428488,9.17E-07,9.95E-07,6.80E-07
478,87.05391571,1.181255042,0.426240804,11.0896742,22853.88933,4.65267,6.59097,0.145683,31.162561,0.14807491,0.983846603,0.046153846,29,63.546,1.45,4.48,6.7,119,11.20799839,16.81199758,14.00999798,0,0,0,0,0,0,1.400999798,0,0,0,0,0,0,0,0,6185.55579,4523.28278,1261.48938,1253.48738,0.0120208,6.75E-07,8.00E-07,4.30E-07
479,2.21587066,0.655642899,0.200469294,10.30240373,661.9370875,15.11504,15.18006,0.216481,483.612825,0.19447399,1.113161709,0.02,48,112.411,1.61,4.33,7.2,-70,19.55351608,18.33142132,0,0,7.332568529,0,0,12.22094755,2.44418951,0,0,0,0,0,0,0,0,0,4524.31344,6328.263,1595.41025,1221.56026,0.000273339,3.04E-07,3.52E-07,2.19E-07
480,2.284550605,0.920612581,0.296431541,133.8705935,56.37206198,4.79817,6.67006,0.396113,1556.840089,0.48457855,0.817438169,0.095238095,25,54.93805,1.61,3.72,9.4,-50,4.191348479,12.57404544,0,0,8.382696957,0,0,0,0,1.39711616,0,0,0,0,0,0,0,0,3920.11956,10590.65742,1055.00562,817.64021,0.000181914,5.52E-07,6.16E-07,4.18E-07
481,10.91735058,1.235236115,0.402556321,4.939211806,5533.091856,8.56711,10.35234,0.352069,1078.651869,0.4041345,0.871167895,0.037037037,26,55.847,1.56,4.06,8.4,15,11.96620225,25.64186197,0,0,6.837829859,0,0,0,0,0,0,0,0,0,0,0,0,0,5109.49502,4554.42347,992.03711,1009.44582,0.00135155,6.18E-07,6.74E-07,4.03E-07
482,318.3004585,0.900553272,0.328326172,0.529338278,603452.8689,5.2732,6.45058,0.135648,55.254854,0.13797372,0.983143754,0.020408163,30,65.39,1.42,4.45,6.4,-60,19.59095017,30.61085964,1.224434386,0,4.897737543,0,0,0,2.448868771,0,0,0,0,0,0,0,0,0,7192.9627,2962.54944,1368.78685,1374.30541,0.0457762,6.39E-07,7.27E-07,3.66E-07
483,0.56793128,0.378263778,0.117023757,137.0509121,13.76340657,3.87458,4.52049,0.0969734,0,0.05931608,1.634858513,0.042553191,64,157.25,2.33,3.1,23.5,13,15.09574219,11.32180664,3.773935546,12.57978515,2.515957031,0,0,0,7.547871093,0,0,0,3.773935546,0,0,0,0,0,5460.75817,17333.10922,1937.01311,1521.20304,0.000146064,2.80E-07,3.57E-07,1.88E-07
484,3.034910145,1.556290545,0.537340374,0.2193861,4373.667409,4.31045,4.67589,0.119196,0,0.07989671,1.491876178,0.058823529,30,65.39,1.42,4.45,6.4,-60,3.371422024,16.85711012,33.71422024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5652.40096,1988.57614,1868.47976,1819.85815,0.00039906,7.77E-07,9.22E-07,3.50E-07
485,0,0.016804719,0.017784003,60.05343189,0,3.61791,3.80719,0.149295,0,0.07526994,1.983461147,0.117647059,25,54.93805,1.61,3.72,9.4,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3494.18711,10702.80831,1816.57537,1618.2816,1.29E-14,1.05E-07,1.78E-07,9.82E-08
486,177.9923922,1.091705173,0.416251853,0.66746221,272732.7055,3.39783,4.98187,0.0768498,0,0.07523575,1.021453299,0.044444444,30,65.39,1.42,4.45,6.4,-60,16.53190083,24.79785125,0,0,8.265950415,0,0,0,1.180850059,0,0,0,0,0,0,0,0,0,6816.58095,3208.46401,1466.03787,1457.15021,0.0274841,6.93E-07,8.42E-07,4.12E-07
487,13.92241848,1.52852332,0.508756549,0.371131508,19269.15894,7.81417,8.37422,0.280093,860.515165,0.32045834,0.874038741,0.048780488,30,65.39,1.42,4.45,6.4,-60,12.76256413,20.2073932,0,0,7.444829074,0,0,0,1.063547011,0,0,0,0,0,0,0,0,0,5363.40405,2182.62022,1105.70956,1121.68642,0.00180145,7.74E-07,8.55E-07,4.83E-07
488,10.26492363,0.373180353,0.118691567,15.61395406,2124.474221,7.00364,8.30223,0.138262,186.739806,0.09189706,1.504531219,0.036144578,30,65.39,1.42,4.45,6.4,-60,16.68980649,8.344903243,0,8.344903243,12.51735486,0,0,0,8.344903243,0,0,0,0,0,0,0,0,0,5156.89775,7154.08303,1006.483,977.9776,0.00115469,1.85E-07,2.00E-07,1.28E-07
489,0.00035225,0.148035577,0.062419986,148.9528227,0.007871683,3.74799,4.54478,0.125905,0,0.08224378,1.53087566,0.038461538,58,140.115,1.85,3.1,29.6,635,28.15550498,2.559591362,0,5.119182724,2.559591362,0,2.559591362,0,15.35754817,0,0,0,2.559591362,0,0,0,0,0,5443.07898,17452.26468,2211.45071,1365.27861,0.000204395,2.33E-07,2.65E-07,1.45E-07
490,0.033917546,0.266674864,0.097490403,128.0092925,0.880699863,3.76435,4.58611,0.126997,0,0.08377569,1.515917176,0.038461538,59,140.90765,2.47,3.1,28.2,93,27.81922611,2.529020555,0,5.05804111,2.529020555,0,2.529020555,0,15.17412333,0,0,0,2.529020555,0,0,0,0,0,5155.34968,16265.59911,1998.15272,1344.10795,0.000132076,2.41E-07,2.78E-07,1.54E-07
491,0.042488514,0.258722672,0.094777629,140.3006534,1.006926403,3.75891,4.60441,0.121685,0,0.07933871,1.53374052,0.038461538,60,144.24,2.06,3.1,31.4,185,27.88914767,2.535377061,0,5.070754122,2.535377061,0,2.535377061,0,15.21226236,0,0,0,2.535377061,0,0,0,0,0,5069.81024,17439.5553,2120.73841,1359.57631,0.000108369,2.42E-07,2.79E-07,1.54E-07
492,0.012672658,0.259299828,0.100528923,126.6033022,0.332712276,3.72286,4.53361,0.123651,0,0.07820118,1.581190899,0.038461538,62,150.36,2.38,3.1,28.8,16,28.27616063,2.570560057,0,5.141120115,2.570560057,0,2.570560057,0,15.42336034,0,0,0,2.570560057,0,0,0,0,0,4847.47505,17804.69147,2139.1378,1388.83063,5.34E-05,2.36E-07,2.78E-07,1.52E-07
493,0.024378491,0.28999457,0.106262147,124.2811668,0.651775058,3.71554,4.5819,0.114255,0,0.07040675,1.622784825,0.038461538,64,157.25,2.33,3.1,23.5,13,28.49038303,2.590034821,0,5.180069642,2.590034821,0,2.590034821,0,15.54020893,0,0,0,2.590034821,0,0,0,0,0,4772.72667,17180.51171,2066.73589,1394.86231,4.72E-05,2.36E-07,2.77E-07,1.50E-07
494,0.000410619,0.251222798,0.096914028,143.387384,0.009522552,3.63092,4.49241,0.103886,0,0.07650755,1.357853,0.038461538,39,88.90585,2.12,3.19,22.7,30,29.11247683,2.646588803,0,0,7.939766409,0,2.646588803,0,15.87953282,0,0,0,2.646588803,0,0,0,0,0,4464.36552,13284.34166,1889.95928,1462.25375,2.39E-05,2.99E-07,3.57E-07,1.87E-07
495,246.7679687,1.473217823,0.540537247,0.205833175,370591.2109,5.82089,9.46067,0.173517,391.074037,0.18115737,0.957824667,0.022222222,28,58.6934,1.49,4.4,6.8,112,17.67711641,27.77832579,5.050604689,0,5.050604689,0,0,0,0,0,0,0,0,0,0,0,0,0,6404.98696,1822.86047,1328.06589,1341.80147,0.0390296,9.53E-07,1.04E-06,4.99E-07
496,131.2226024,0.909101811,0.330421987,0.152447072,314236.9455,6.48142,7.27958,0.136558,280.454252,0.1164059,1.173119197,0.028571429,30,65.39,1.42,4.45,6.4,-60,20.86138311,31.29207467,5.689468121,2.844734061,3.792978747,0,0,0,0,0,0,0,0,0,0,0,0,0,6160.16451,1814.30384,1303.54236,1317.69496,0.0185914,5.71E-07,6.20E-07,3.03E-07
497,211.9998465,0.914434847,0.336437925,0.382546206,432630.0628,5.13385,7.18207,0.123088,118.171229,0.10218651,1.204542504,0.022222222,48,112.411,1.61,4.33,7.2,-70,19.89139747,31.25791031,5.68325642,1.420814105,4.262442315,0,0,0,0,0,0,0,0,0,0,0,0,0,6623.29122,3025.62847,1408.72019,1412.40147,0.0218928,5.70E-07,6.34E-07,3.02E-07
498,0.412076089,0.429595465,0.156274513,0.098119261,2008.19967,3.79318,5.52311,0.0631292,0,0.04784459,1.319463711,0.176470588,48,112.411,1.61,4.33,7.2,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,9.216760599,12.28901413,0,0,0,4303.85374,1454.83009,963.72821,942.60458,5.09E-05,2.15E-07,2.58E-07,1.75E-07
499,141.5295716,1.149602573,0.37810934,0.625679124,219080.1534,9.01732,10.4223,0.273039,784.075605,0.28457847,0.959450646,0.021126761,48,112.411,1.61,4.33,7.2,-70,17.72436509,26.58654764,2.215545637,2.215545637,2.215545637,0,0,0,0,0,0,0,0,0,0,0,0,0,7001.87635,3119.52404,1104.50338,1089.69728,0.0317845,6.63E-07,7.02E-07,3.93E-07
500,121.4449016,1.811483507,0.617538746,0.306867025,147965.1761,5.4752,7.469,0.167725,136.69256,0.18740801,0.894972417,0.021276596,48,112.411,1.61,4.33,7.2,-70,16.95693211,25.43539817,2.119616514,0,4.239233029,0,0,0,0,0,0,0,0,0,0,0,0,0,6145.02869,1717.55779,1264.92464,1257.57425,0.0151303,9.47E-07,1.04E-06,5.29E-07
501,35.74991742,0.609108876,0.207974683,3.942310317,25038.14445,4.59512,5.17093,0.0641742,0,0.04701808,1.364883338,0.02173913,28,58.6934,1.49,4.4,6.8,112,21.99356359,35.52806426,11.84268809,1.691812584,5.075437752,0,0,0,0,0,0,0,0,0,0,0,0,0,7065.45684,5317.85512,1738.59485,1668.28941,0.00644757,3.52E-07,4.15E-07,1.81E-07
502,677.4575949,0.329253261,0.120054978,0.051225101,4511571.563,5.49608,5.93957,0.0877076,0,0.07614948,1.151781921,0.066666667,30,65.39,1.42,4.45,6.4,-60,14.05031444,21.07547165,14.05031444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7552.98584,1692.41372,1542.54191,1495.41265,0.256156,9.70E-07,1.03E-06,4.45E-07
503,329.1591808,0.971476237,0.359320746,6.38205817,142255.656,4.82055,5.29338,0.148762,0,0.11447288,1.299539217,0.066666667,48,112.411,1.61,4.33,7.2,-70,12.80485228,19.20727843,12.80485228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6961.90978,4692.76285,1463.66467,1416.68028,0.0436924,6.93E-07,7.86E-07,3.83E-07
504,273.732459,1.113844502,0.401161255,0.403932275,475492.9626,4.60231,5.37948,0.0503525,0,0.03806365,1.32285012,0.066666667,29,63.546,1.45,4.48,6.7,119,16.29080425,24.43620637,16.29080425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7694.57245,2552.48575,1791.35373,1717.97114,0.0407339,7.72E-07,8.97E-07,3.59E-07
505,1.398765827,0.801245461,0.256885782,87.2492655,52.79911907,7.9288,10.20195,0.510884,1643.748224,0.51258375,0.996683953,0.117647059,27,58.9332,1.52,4.3,7.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3671.64023,12232.39857,812.50775,736.91848,9.33E-05,4.05E-07,4.41E-07,3.10E-07
506,2.459620881,0.630080414,0.217835339,30.4019962,262.3602998,3.81582,10.1359,0.251988,472.644983,0.19428598,1.296995302,0.074074074,28,58.6934,1.49,4.4,6.8,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567.51709,6238.72635,1255.88365,1273.01877,0.000285344,3.74E-07,4.46E-07,2.46E-07
507,108.7795605,0.99813239,0.353405865,116.502878,3076.664807,4.81333,6.20065,0.221185,75.422363,0.20978862,1.054323139,0.03125,60,144.24,2.06,3.1,31.4,185,11.18070818,20.96382784,0,6.987942612,1.397588522,0,0,1.397588522,0,0,0,0,0,1.397588522,0,0,0,0,6075.02848,14345.39469,1435.71283,1244.87097,0.00686062,7.63E-07,8.36E-07,4.32E-07
508,6.008192676,1.202774764,0.418841617,114.0109717,173.1977919,4.44138,6.2541,0.197575,30.676124,0.1831017,1.079045127,0.03125,60,144.24,2.06,3.1,31.4,185,11.44287575,21.45539202,0,7.151797341,1.430359468,0,0,1.430359468,0,0,0,0,0,1.430359468,0,0,0,0,5126.59837,14217.48262,1513.41501,1331.29105,0.00108895,8.06E-07,8.91E-07,4.41E-07
509,0.342397875,0.895194811,0.344780844,121.3449041,9.310497763,3.80487,5.57121,0.137573,0,0.11901719,1.155908627,0.03125,60,144.24,2.06,3.1,31.4,185,12.25798483,22.98372155,0,7.661240517,1.532248103,0,0,1.532248103,0,0,0,0,0,1.532248103,0,0,0,0,4996.98996,14460.79982,1804.85144,1512.29531,0.000271698,6.94E-07,8.77E-07,4.20E-07
510,0.005584471,0.381161831,0.198683537,123.2913669,0.150276264,3.37266,4.80086,0.0793047,0,0.06401942,1.238760044,0.03125,60,144.24,2.06,3.1,31.4,185,13.13659356,24.63111292,0,8.210370975,1.642074195,0,0,1.642074195,0,0,0,0,0,1.642074195,0,0,0,0,4754.80352,14558.3726,2041.63507,1625.82708,3.12E-05,4.06E-07,6.51E-07,3.37E-07
511,3.789412564,1.087740478,0.401723589,119.8071029,104.1362961,4.10869,5.87611,0.167461,0.976264,0.14975864,1.118205949,0.03125,60,144.24,2.06,3.1,31.4,185,11.85816182,22.23405342,0,7.411351139,1.482270228,0,0,1.482270228,0,0,0,0,0,1.482270228,0,0,0,0,5541.77543,14428.67476,1644.12219,1413.84052,0.00150727,7.92E-07,9.07E-07,4.36E-07
512,0.298769196,0.811789175,0.322206169,120.196341,8.208147677,3.79099,5.25103,0.118949,0,0.10169634,1.169648746,0.03125,60,144.24,2.06,3.1,31.4,185,12.40369372,23.25692573,0,7.752308578,1.550461716,0,0,1.550461716,0,0,0,0,0,1.550461716,0,0,0,0,5024.33792,14474.45397,1851.25305,1546.79864,0.000187679,6.79E-07,8.72E-07,4.15E-07
513,0.56556891,0.99776134,0.40185713,36.19336704,50.14844321,3.6936,4.77391,0.0235958,0,0.01703763,1.384922545,0.025,60,144.24,2.06,3.1,31.4,185,15.55005208,26.43508854,4.665015625,7.775026041,1.555005208,0,0,1.555005208,0,0,0,0,0,1.555005208,0,0,0,1.555005208,5559.89573,12258.51239,2004.17619,1933.32051,3.36E-05,6.39E-07,8.72E-07,3.39E-07
514,6.907292498,1.125340432,0.42258206,120.5533221,188.5673516,4.09674,5.82831,0.173661,1.584903,0.15692505,1.106649349,0.03125,60,144.24,2.06,3.1,31.4,185,11.73560834,22.00426564,0,7.334755215,1.466951043,0,0,1.466951043,0,0,0,0,0,1.466951043,0,0,0,0,5340.89278,14171.57968,1586.00317,1394.23305,0.0012843,7.93E-07,9.09E-07,4.38E-07
515,127.0276193,1.169274469,0.445993968,38.31060305,10605.2888,3.56647,6.64185,0.0817861,37.888725,0.0677396,1.207360238,0.023255814,60,144.24,2.06,3.1,31.4,185,17.7222789,27.26504446,1.363252223,6.816261116,1.363252223,0,0,1.363252223,0,0,0,0,0,1.363252223,0,0,0,0,6691.17395,12315.54462,1730.90314,1675.2536,0.0211685,7.49E-07,9.17E-07,3.91E-07
516,7.264698638,1.096177353,0.404891965,116.505851,205.205441,4.24105,5.98674,0.174152,5.31109,0.15988893,1.089206092,0.03125,60,144.24,2.06,3.1,31.4,185,11.55062904,21.65742945,0,7.219143148,1.44382863,0,0,1.44382863,0,0,0,0,0,1.44382863,0,0,0,0,5805.94547,14324.15525,1581.2675,1378.83664,0.00257363,7.82E-07,8.94E-07,4.36E-07
517,190.0021318,1.155407141,0.421528363,0.757710198,271279.0376,3.94539,7.3141,0.144527,126.271103,0.12523351,1.154060156,0.022727273,66,162.5,2.28,3.1,24.5,34,14.67297114,25.23751036,0,8.216863838,0,0,1.173837691,0,0,0,0,0,0,0,0,0,0,0,6805.86269,3447.95161,1365.00043,1368.76145,0.025027,6.97E-07,7.90E-07,3.86E-07
518,157.8382813,0.842147197,0.335586504,19.91400308,24944.72645,3.4401,6.47002,0.0850488,55.679841,0.08028578,1.05932587,0.016759777,30,65.39,1.42,4.45,6.4,-60,26.11916311,23.81453107,5.377474757,2.304632039,4.609264077,0,0,0,4.609264077,0,0,0,0,0,0.76821068,0,0,0,6709.36523,7241.65869,1486.58772,1505.18231,0.0300962,5.95E-07,7.19E-07,3.47E-07
519,3.462118969,0.352595728,0.116462263,4.357594371,2390.973225,7.38581,8.51519,0.154207,238.923567,0.10454604,1.475015193,0.036144578,29,63.546,1.45,4.48,6.7,119,16.60917728,8.304588639,0,8.304588639,12.45688296,0,0,0,8.304588639,0,0,0,0,0,0,0,0,0,4605.66837,5877.06821,934.6684,918.45683,0.000435734,1.77E-07,1.93E-07,1.28E-07
520,10.10232092,1.100619977,0.444932271,0.237245456,18888.51606,6.64296,9.31849,0.27146,649.06732,0.24371015,1.113864156,0.061538462,29,63.546,1.45,4.48,6.7,119,8.614941927,22.97317847,0,0,11.48658924,0,0,0,0,0,0,0,0,0,0,0,0,0,4914.72265,1795.08879,1307.56127,1586.31648,0.00130845,5.47E-07,7.38E-07,3.77E-07
521,3.539866964,0.493781588,0.155682244,5.171155397,2027.199527,6.66029,7.3078,0.138967,315.943102,0.13166951,1.055422782,0.015151515,28,58.6934,1.49,4.4,6.8,112,24.97087754,29.13269046,0,2.080906461,7.283172615,0,0,0,4.161812923,0,0,0,0,0,0,0,0,0,4653.91221,4421.1641,1014.46698,975.40589,0.000451738,2.41E-07,2.66E-07,1.68E-07
522,5.808896994,1.232234998,0.395097115,81.3094919,233.4667406,6.13642,7.62677,0.295193,1329.514443,0.41667782,0.708444236,0.018867925,48,112.411,1.61,4.33,7.2,-70,15.90197437,18.28727053,1.590197437,0,3.180394875,0,0,0,1.590197437,0,0,0,0,0,0.795098719,0,0,0,4675.81027,7227.34849,969.78561,929.01704,0.000867062,7.18E-07,7.91E-07,5.09E-07
523,0,0.005280336,0.004098354,272.2294114,0,4.09993,5.39041,0.231449,115.377733,0.13791775,1.678166884,0.0625,64,157.25,2.33,3.1,23.5,13,4.397035195,20.51949758,0,13.19110559,4.397035195,0,0,0,0,0,0,0,0,0,1.465678398,0,0,0,5445.86652,21151.82664,2674.39424,1087.19536,0.000644875,1.70E-07,1.90E-07,1.23E-07
524,3.946151136,0.836926237,0.263075512,0.443905275,8519.837606,3.96145,4.6339,0.0192348,0,0.01134027,1.696149495,0.054054054,29,63.546,1.45,4.48,6.7,119,21.58617861,30.22065005,6.475853583,4.317235722,10.7930893,0,0,0,0,0,2.158617861,0,2.158617861,0,0,0,0,0,6224.20707,3375.71125,2071.08166,1928.01596,0.000537125,3.95E-07,4.54E-07,1.62E-07
